Unnamed: 0,selgroup,volseg,pixelRato2initalMask,sradius,numsel_allcluster,numsel_noisecluster,numsel_Currentcluster,shelldistance,vol_density_numsel_allcluster,vol_density_numsel_noisecluster,shell_density_numsel_allcluster,shell_density_numsel_noisecluster,sub_group_type,idd,vol_density_numsel_Currentcluster,shell_idd,shell_density_numsel_Currentcluster
4840,4.0,5576800.0,0.4495,110.0,0.0,0.0,0.0,49.441,0.0,0.0,0.0,0.0,SP1,4,0.0,5.0,0.0
4841,4.0,9204900.0,0.53122,130.0,0.0,0.0,0.0,60.50100000000001,0.0,0.0,0.0,0.0,SP1,4,0.0,6.0,0.0
4842,4.0,14140000.0,0.6129399999999999,150.0,0.0,0.0,0.0,71.60600000000002,0.0,0.0,0.0,0.0,SP1,4,0.0,7.0,0.0
4843,4.0,20583000.0,0.69466,170.0,0.0,0.0,0.0,82.738,0.0,0.0,0.0,0.0,SP1,4,0.0,8.0,0.0
4844,4.0,28736000.0,0.7763800000000001,190.0,0.0,0.0,0.0,93.864,0.0,0.0,0.0,0.0,SP1,4,0.0,9.0,0.0
4845,4.0,38798000.0,0.8581,210.0,1.0,0.0,1.0,104.96,42.81482468442477,0.0,165.089402515038,0.0,SP1,4,42.81482468442477,10.0,165.089402515038
4846,4.0,50972000.0,0.93982,230.0,1.0,0.0,1.0,116.06,32.58906003504497,0.0,0.0,0.0,SP1,4,32.58906003504497,11.0,0.0
4847,4.0,65458000.0,1.0215,250.0,2.0,0.0,2.0,127.16,50.75405811684782,0.0,114.67137706104602,0.0,SP1,4,50.75405811684782,12.0,114.67137706104602
4848,4.0,82457000.0,1.1033,270.0,3.0,0.0,3.0,138.28,60.43621165357625,0.0,97.71925219755941,0.0,SP1,4,60.43621165357625,13.0,97.71925219755941
4849,4.0,102170000.0,1.185,290.0,6.0,0.0,6.0,149.39,97.55091914101864,0.0,252.79707321660516,0.0,SP1,4,97.55091914101864,14.0,252.79707321660516
4850,4.0,124800000.0,1.2667,310.0,6.0,0.0,6.0,160.52,79.86199846664964,0.0,0.0,0.0,SP1,4,79.86199846664964,15.0,0.0
4851,4.0,150550000.0,1.3484,330.0,7.0,0.0,7.0,171.64,77.23618051640109,0.0,64.50988614005097,0.0,SP1,4,77.23618051640109,16.0,64.50988614005097
4852,4.0,179610000.0,1.4301,350.0,8.0,0.0,8.0,182.77,73.98828876371303,0.0,57.16206359622548,0.0,SP1,4,73.98828876371303,17.0,57.16206359622548
4853,4.0,212190000.0,1.5119,370.0,8.0,0.0,8.0,193.89,62.628005772423286,0.0,0.0,0.0,SP1,4,62.628005772423286,18.0,0.0
4854,4.0,248500000.0,1.5936,390.0,9.0,0.0,9.0,205.02,60.161634257371475,0.0,45.74854222270207,0.0,SP1,4,60.161634257371475,19.0,45.74854222270207
4855,4.0,288720000.0,1.6753,410.0,9.0,0.0,9.0,216.16,51.780846886107,0.0,0.0,0.0,SP1,4,51.780846886107,20.0,0.0
4856,4.0,333060000.0,1.757,430.0,9.0,0.0,9.0,227.29,44.88730592973281,0.0,0.0,0.0,SP1,4,44.88730592973281,21.0,0.0
4857,4.0,381730000.0,1.8387,450.0,10.0,0.0,10.0,238.42,43.515824486058534,0.0,34.13046164179807,0.0,SP1,4,43.515824486058534,22.0,34.13046164179807
4858,4.0,434920000.0,1.9205,470.0,10.0,0.0,10.0,249.56,38.193910790635336,0.0,0.0,0.0,SP1,4,38.193910790635336,23.0,0.0
4859,4.0,492840000.0,2.0022,490.0,10.0,0.0,10.0,260.69,33.705250550002276,0.0,0.0,0.0,SP1,4,33.705250550002276,24.0,0.0
4860,5.0,4201.4,0.047024,10.0,0.0,0.0,0.0,0.0074293000000000015,0.0,0.0,0.0,0.0,SP1,4,0.0,0.0,0.0
4861,5.0,113210.0,0.14098,30.0,0.0,0.0,0.0,14.562,0.0,0.0,0.0,0.0,SP1,4,0.0,1.0,0.0
4862,5.0,523910.0,0.23493000000000006,50.0,0.0,0.0,0.0,29.608,0.0,0.0,0.0,0.0,SP1,4,0.0,2.0,0.0
4863,5.0,1437400.0,0.32889,70.0,0.0,0.0,0.0,44.75899999999999,0.0,0.0,0.0,0.0,SP1,4,0.0,3.0,0.0
4864,5.0,3054600.0,0.42284,90.0,0.0,0.0,0.0,59.864,0.0,0.0,0.0,0.0,SP1,4,0.0,4.0,0.0
4865,5.0,5576800.0,0.51679,110.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,SP1,4,0.0,5.0,0.0
4866,5.0,9204800.0,0.61075,130.0,0.0,0.0,0.0,90.151,0.0,0.0,0.0,0.0,SP1,4,0.0,6.0,0.0
4867,5.0,14140000.0,0.7047,150.0,1.0,0.0,1.0,105.32,117.47733862137993,0.0,336.58809533682773,0.0,SP1,4,117.47733862137993,7.0,336.58809533682773
4868,5.0,20583000.0,0.79865,170.0,2.0,0.0,2.0,120.5,161.40791605755354,0.0,257.81927178431044,0.0,SP1,4,161.40791605755354,8.0,257.81927178431044
4869,5.0,28735000.0,0.89261,190.0,3.0,0.0,3.0,135.69,173.4257422766291,0.0,203.76957410528854,0.0,SP1,4,173.4257422766291,9.0,203.76957410528854
4870,5.0,38798000.0,0.98656,210.0,5.0,0.0,5.0,150.87,214.07412342212388,0.0,330.1459938599448,0.0,SP1,4,214.07412342212388,10.0,330.1459938599448
4871,5.0,50971000.0,1.0805,230.0,6.0,0.0,6.0,166.01,195.5381963986948,0.0,136.46016332098188,0.0,SP1,4,195.5381963986948,11.0,136.46016332098188
4872,5.0,65458000.0,1.1745,250.0,7.0,0.0,7.0,181.15,177.63920340896735,0.0,114.6634615935882,0.0,SP1,4,177.63920340896735,12.0,114.6634615935882
4873,5.0,82457000.0,1.2684,270.0,8.0,0.0,8.0,196.3,161.16323107620337,0.0,97.71925219755941,0.0,SP1,4,161.16323107620337,13.0,97.71925219755941
