# model_ID,resid_ID, disk_angle, dist2sk, disk2surf, vol
0,1,4,440,163,2612300000
0,2,4,506,95,2612300000
0,3,33,237,200,2612300000
0,4,36,266,157,2612300000
0,5,21,332,122,2612300000
0,6,31,705,89,2612300000
0,7,41,309,187,2612300000
0,8,36,500,160,2612300000
0,9,11,338,193,2612300000
0,10,14,356,155,2612300000
0,11,20,548,81,2612300000
0,12,14,370,146,2612300000
0,13,10,252,152,2612300000
0,14,30,564,37,2612300000
0,15,12,200,351,2612300000
0,16,20,275,272,2612300000
0,17,69,560,155,2612300000
0,18,66,585,155,2612300000
0,19,10,693,108,2612300000
0,20,83,518,90,2612300000
0,21,64,516,48,2612300000
0,22,39,882,150,2612300000
0,23,58,820,161,2612300000
0,24,43,746,200,2612300000
0,25,58,823,169,2612300000
0,26,53,423,178,2612300000
0,27,9,501,190,2612300000
0,28,6,65,198,2612300000
0,29,40,119,163,2612300000
0,30,2,134,128,2612300000
0,31,59,338,160,2612300000
0,32,40,343,131,2612300000
0,33,23,299,161,2612300000
0,34,26,386,137,2612300000
0,35,48,329,218,2612300000
0,36,23,332,165,2612300000
0,37,76,261,311,2612300000
0,38,34,236,244,2612300000
0,39,3,309,175,2612300000
0,40,2,277,166,2612300000
0,41,24,374,206,2612300000
0,42,23,439,173,2612300000
0,43,24,464,183,2612300000
0,44,42,391,280,2612300000
0,45,42,384,192,2612300000
0,46,29,297,294,2612300000
0,47,25,410,132,2612300000
0,48,85,433,162,2612300000
0,49,72,398,90,2612300000
0,50,40,350,105,2612300000
0,51,0,425,62,2612300000
0,52,38,108,226,2612300000
0,53,18,73,270,2612300000
0,54,69,171,264,2612300000
0,55,24,100,254,2612300000
0,56,68,574,106,2612300000
0,57,13,604,108,2612300000
0,58,9,583,106,2612300000
0,59,70,553,134,2612300000
0,60,80,348,210,2612300000
0,61,33,370,165,2612300000
0,62,72,451,158,2612300000
0,63,24,381,225,2612300000
0,64,16,270,357,2612300000
0,65,43,209,303,2612300000
0,66,59,256,306,2612300000
0,67,35,272,319,2612300000
0,68,30,158,152,2612300000
0,69,11,222,121,2612300000
0,70,36,166,207,2612300000
0,71,85,606,118,2612300000
0,72,21,435,195,2612300000
0,73,60,100,255,2612300000
0,74,70,171,187,2612300000
0,75,5,216,237,2612300000
0,76,16,173,185,2612300000
0,77,17,152,278,2612300000
0,78,20,234,207,2612300000
0,79,81,172,230,2612300000
0,80,54,701,120,2612300000
0,81,46,659,131,2612300000
0,82,33,563,148,2612300000
0,83,43,638,69,2612300000
0,84,45,609,90,2612300000
0,85,66,65,312,2612300000
0,86,61,138,251,2612300000
0,87,23,42,289,2612300000
0,88,11,473,226,2612300000
0,89,29,531,194,2612300000
0,90,29,215,153,2612300000
0,91,24,206,137,2612300000
0,92,10,189,199,2612300000
0,93,10,488,170,2612300000
0,94,61,456,167,2612300000
0,95,28,496,196,2612300000
0,96,11,457,111,2612300000
0,97,43,209,346,2612300000
0,98,56,239,377,2612300000
0,99,50,245,171,2612300000
0,100,36,288,179,2612300000
0,101,27,177,265,2612300000
0,102,49,188,227,2612300000
0,103,15,450,227,2612300000
0,104,48,404,188,2612300000
0,105,8,502,218,2612300000
0,106,42,395,179,2612300000
0,107,50,568,157,2612300000
0,108,0,550,104,2612300000
0,109,0,580,158,2612300000
0,110,1,543,65,2612300000
0,111,25,613,101,2612300000
0,112,24,581,95,2612300000
0,113,48,330,154,2612300000
0,114,53,183,177,2612300000
0,115,81,277,224,2612300000
0,116,32,280,141,2612300000
0,117,68,167,280,2612300000
0,118,51,223,236,2612300000
0,119,59,305,390,2612300000
0,120,14,305,397,2612300000
0,121,2,389,389,2612300000
0,122,76,248,390,2612300000
0,123,38,338,343,2612300000
0,124,26,218,117,2612300000
0,125,11,169,185,2612300000
0,126,33,150,181,2612300000
0,127,24,60,234,2612300000
0,128,38,156,183,2612300000
0,129,53,200,194,2612300000
0,130,63,257,167,2612300000
0,131,53,91,221,2612300000
0,132,54,188,176,2612300000
0,133,22,257,205,2612300000
0,134,46,228,186,2612300000
0,135,26,108,389,2612300000
0,136,21,170,344,2612300000
0,137,19,145,252,2612300000
0,138,28,331,208,2612300000
0,139,9,235,267,2612300000
0,140,42,71,265,2612300000
0,141,29,382,142,2612300000
0,142,14,41,353,2612300000
0,143,1,148,312,2612300000
0,144,15,248,280,2612300000
0,145,49,104,378,2612300000
0,146,17,35,245,2612300000
0,147,9,163,326,2612300000
0,148,62,98,379,2612300000
0,149,30,214,284,2612300000
0,150,79,733,125,2612300000
0,151,75,757,111,2612300000
0,152,23,695,166,2612300000
0,153,30,675,189,2612300000
0,154,50,389,298,2612300000
0,155,19,373,290,2612300000
0,156,66,487,177,2612300000
0,157,36,423,248,2612300000
0,158,9,200,148,2612300000
0,159,4,183,178,2612300000
0,160,15,178,195,2612300000
0,161,70,486,326,2612300000
0,162,73,452,354,2612300000
0,163,61,547,265,2612300000
0,164,77,619,193,2612300000
0,165,55,542,122,2612300000
0,166,77,787,230,2612300000
0,167,50,703,263,2612300000
0,168,44,640,314,2612300000
0,169,77,851,194,2612300000
0,170,56,853,203,2612300000
0,171,60,820,173,2612300000
0,172,8,840,147,2612300000
0,173,59,724,278,2612300000
0,174,25,839,159,2612300000
0,175,59,698,296,2612300000
0,176,47,764,252,2612300000
0,177,45,897,148,2612300000
0,178,76,505,156,2612300000
0,179,57,462,124,2612300000
0,180,41,538,137,2612300000
0,181,44,244,275,2612300000
0,182,0,365,203,2612300000
0,183,6,327,183,2612300000
0,184,19,201,338,2612300000
0,185,15,152,384,2612300000
0,186,4,376,188,2612300000
0,187,5,275,288,2612300000
0,188,19,310,257,2612300000
0,189,23,337,167,2612300000
0,190,10,377,149,2612300000
0,191,64,130,418,2612300000
0,192,54,159,344,2612300000
0,193,26,142,357,2612300000
0,194,32,124,412,2612300000
0,195,71,463,178,2612300000
0,196,14,502,241,2612300000
0,197,38,561,155,2612300000
0,198,7,515,163,2612300000
0,199,54,412,220,2612300000
0,200,62,545,214,2612300000
0,201,31,425,295,2612300000
0,202,18,393,229,2612300000
0,203,1,155,255,2612300000
0,204,25,243,223,2612300000
0,205,5,159,283,2612300000
0,206,35,63,324,2612300000
0,207,12,157,332,2612300000
0,208,16,272,183,2612300000
0,209,2,328,186,2612300000
0,210,21,400,158,2612300000
0,211,55,315,165,2612300000
0,212,46,272,172,2612300000
0,213,63,330,166,2612300000
0,214,84,311,176,2612300000
0,215,32,242,234,2612300000
0,216,78,347,366,2612300000
0,217,64,320,310,2612300000
0,218,17,263,353,2612300000
0,219,39,262,344,2612300000
0,220,25,267,385,2612300000
0,221,40,381,355,2612300000
0,222,49,332,286,2612300000
0,223,76,368,219,2612300000
0,224,54,248,353,2612300000
0,225,40,359,301,2612300000
0,226,46,198,378,2612300000
0,227,34,568,167,2612300000
0,228,37,444,254,2612300000
0,229,33,486,284,2612300000
0,230,34,593,160,2612300000
0,231,21,432,233,2612300000
0,232,55,362,211,2612300000
0,233,3,224,237,2612300000
0,234,18,288,190,2612300000
0,235,64,345,183,2612300000
0,236,15,268,174,2612300000
0,237,46,337,163,2612300000
0,238,27,265,176,2612300000
0,239,2,248,181,2612300000
0,240,55,251,242,2612300000
0,241,23,272,150,2612300000
0,242,31,250,177,2612300000
0,243,39,300,183,2612300000
0,244,53,132,284,2612300000
0,245,16,144,242,2612300000
0,246,63,222,201,2612300000
0,247,54,209,196,2612300000
0,248,30,253,201,2612300000
0,249,12,294,233,2612300000
0,250,36,154,212,2612300000
0,251,43,39,263,2612300000
0,252,8,156,299,2612300000
0,253,29,198,239,2612300000
0,254,48,217,216,2612300000
0,255,22,39,257,2612300000
0,256,46,374,157,2612300000
0,257,13,440,225,2612300000
0,258,12,448,184,2612300000
0,259,72,509,259,2612300000
0,260,27,492,260,2612300000
0,261,16,365,251,2612300000
0,262,5,462,160,2612300000
0,263,33,519,81,2612300000
0,264,20,426,153,2612300000
0,265,59,438,317,2612300000
0,266,22,482,277,2612300000
0,267,68,456,347,2612300000
0,268,81,524,202,2612300000
0,269,7,434,260,2612300000
0,270,24,580,105,2612300000
0,271,45,541,56,2612300000
0,272,54,556,75,2612300000
0,273,57,586,37,2612300000
0,274,75,596,27,2612300000
0,275,53,421,341,2612300000
0,276,72,337,369,2612300000
0,277,18,343,299,2612300000
0,278,69,255,364,2612300000
0,279,60,387,363,2612300000
