# model_ID,resid_ID, disk_angle, dist2sk, disk2surf, vol
0,1,16,213,64,92582000
0,2,0,215,53,92582000
0,3,23,256,73,92582000
0,4,44,133,116,92582000
0,5,29,273,93,92582000
0,6,40,321,55,92582000
0,7,22,115,115,92582000
0,8,9,70,155,92582000
0,9,56,82,156,92582000
0,10,15,93,117,92582000
0,11,56,151,115,92582000
0,12,2,156,96,92582000
0,13,17,178,98,92582000
0,14,48,102,130,92582000
0,15,5,105,156,92582000
0,16,44,158,102,92582000
0,17,16,74,187,92582000
1,1,45,127,111,69519000
1,2,6,101,121,69519000
1,3,18,95,90,69519000
1,4,18,154,50,69519000
1,5,9,174,55,69519000
1,6,5,177,78,69519000
1,7,63,55,139,69519000
1,8,19,46,130,69519000
1,9,44,71,118,69519000
1,10,29,34,163,69519000
1,11,20,96,111,69519000
1,12,48,48,142,69519000
2,1,2,47,151,72988000
2,2,30,114,99,72988000
2,3,28,70,121,72988000
2,4,46,136,61,72988000
2,5,33,38,93,72988000
2,6,33,52,81,72988000
2,7,41,187,74,72988000
2,8,62,173,76,72988000
2,9,18,47,151,72988000
2,10,86,41,135,72988000
2,11,42,80,113,72988000
2,12,52,34,145,72988000
2,13,59,187,28,72988000
2,14,65,168,66,72988000
3,1,63,19,98,63773000
3,2,69,160,76,63773000
3,3,43,188,50,63773000
3,4,36,119,91,63773000
3,5,47,134,64,63773000
3,6,0,15,160,63773000
3,7,13,64,91,63773000
3,8,8,39,146,63773000
3,9,43,104,87,63773000
3,10,46,66,127,63773000
3,11,12,138,94,63773000
3,12,35,130,103,63773000
3,13,2,159,53,63773000
4,1,16,163,91,81536000
4,2,13,231,53,81536000
4,3,2,118,122,81536000
4,4,52,79,178,81536000
4,5,14,86,150,81536000
4,6,57,137,91,81536000
4,7,12,170,111,81536000
4,8,38,118,149,81536000
4,9,72,87,131,81536000
4,10,20,120,137,81536000
4,11,67,140,98,81536000
4,12,87,191,84,81536000
