# model_ID,resid_ID, disk_angle, dist2sk, disk2surf, vol
0,1,19,366,87,114850000
0,2,71,78,164,114850000
0,3,81,118,128,114850000
0,4,56,75,220,114850000
0,5,0,118,147,114850000
0,6,29,187,143,114850000
0,7,30,294,78,114850000
0,8,35,263,146,114850000
0,9,70,48,236,114850000
0,10,57,140,139,114850000
0,11,75,151,165,114850000
0,12,26,155,105,114850000
0,13,28,121,141,114850000
0,14,14,136,135,114850000
0,15,48,118,157,114850000
0,16,43,147,152,114850000
0,17,0,237,138,114850000
0,18,19,335,96,114850000
0,19,8,272,89,114850000
0,20,18,177,137,114850000
0,21,22,158,135,114850000
0,22,36,158,144,114850000
0,23,50,153,128,114850000
0,24,66,148,147,114850000
0,25,6,59,221,114850000
1,1,67,109,146,130300000
1,2,16,94,154,130300000
1,3,9,110,133,130300000
1,4,35,107,145,130300000
1,5,53,134,134,130300000
1,6,10,121,167,130300000
1,7,28,101,160,130300000
1,8,29,119,143,130300000
1,9,21,162,146,130300000
1,10,2,202,94,130300000
1,11,48,227,100,130300000
1,12,52,136,174,130300000
1,13,62,213,111,130300000
1,14,6,96,169,130300000
1,15,5,135,148,130300000
1,16,67,150,131,130300000
1,17,34,125,132,130300000
1,18,30,127,166,130300000
1,19,70,159,143,130300000
1,20,2,150,167,130300000
1,21,35,190,130,130300000
1,22,3,189,159,130300000
1,23,62,17,222,130300000
1,24,64,86,186,130300000
1,25,9,103,177,130300000
2,1,22,177,122,129180000
2,2,27,153,119,129180000
2,3,13,124,159,129180000
2,4,16,119,178,129180000
2,5,59,302,62,129180000
2,6,65,199,125,129180000
2,7,56,131,138,129180000
2,8,32,89,182,129180000
2,9,74,104,150,129180000
2,10,17,64,203,129180000
2,11,62,157,140,129180000
2,12,68,199,102,129180000
2,13,73,108,190,129180000
2,14,55,94,190,129180000
2,15,73,140,148,129180000
2,16,37,119,167,129180000
2,17,56,152,124,129180000
2,18,64,112,149,129180000
2,19,3,241,119,129180000
2,20,42,252,116,129180000
2,21,22,175,165,129180000
2,22,70,231,124,129180000
2,23,26,294,103,129180000
2,24,63,211,143,129180000
2,25,54,95,231,129180000
2,26,8,153,173,129180000
2,27,18,241,78,129180000
2,28,47,221,102,129180000
3,1,10,41,258,129890000
3,2,56,176,119,129890000
3,3,48,143,156,129890000
3,4,3,105,193,129890000
3,5,68,146,157,129890000
3,6,16,136,155,129890000
3,7,16,133,163,129890000
3,8,44,155,139,129890000
3,9,78,135,153,129890000
3,10,23,135,150,129890000
3,11,19,141,158,129890000
3,12,71,149,141,129890000
3,13,23,126,175,129890000
3,14,34,54,241,129890000
3,15,0,151,145,129890000
3,16,22,149,150,129890000
3,17,64,152,139,129890000
3,18,30,150,141,129890000
3,19,77,154,145,129890000
3,20,9,164,149,129890000
3,21,14,203,170,129890000
3,22,44,156,177,129890000
3,23,54,144,195,129890000
4,1,53,202,73,77034000
4,2,17,254,21,77034000
4,3,36,132,118,77034000
4,4,20,96,107,77034000
4,5,46,40,168,77034000
4,6,69,109,117,77034000
4,7,33,47,165,77034000
4,8,41,118,104,77034000
4,9,33,69,129,77034000
4,10,14,82,116,77034000
4,11,19,133,120,77034000
4,12,51,261,83,77034000
5,1,49,145,106,95342000
5,2,18,135,127,95342000
5,3,20,144,114,95342000
5,4,15,184,127,95342000
5,5,32,213,115,95342000
5,6,49,126,117,95342000
5,7,1,116,127,95342000
5,8,66,19,230,95342000
5,9,40,144,155,95342000
5,10,46,86,148,95342000
5,11,48,196,125,95342000
5,12,49,100,151,95342000
5,13,26,92,163,95342000
5,14,73,134,134,95342000
5,15,31,152,110,95342000
5,16,46,139,115,95342000
5,17,62,154,127,95342000
5,18,19,191,90,95342000
5,19,34,185,108,95342000
6,1,58,97,116,77382000
6,2,58,41,165,77382000
6,3,9,120,121,77382000
6,4,8,92,136,77382000
6,5,69,105,127,77382000
6,6,19,98,126,77382000
6,7,31,113,102,77382000
6,8,61,131,97,77382000
6,9,33,89,110,77382000
6,10,44,98,121,77382000
6,11,58,96,123,77382000
6,12,1,99,134,77382000
6,13,83,14,185,77382000
7,1,25,80,180,67477000
7,2,59,108,141,67477000
7,3,37,235,43,67477000
7,4,29,94,153,67477000
7,5,28,173,96,67477000
7,6,32,59,193,67477000
7,7,47,98,149,67477000
7,8,73,168,100,67477000
7,9,2,147,110,67477000
7,10,12,82,154,67477000
7,11,48,109,134,67477000
7,12,58,97,136,67477000
8,1,39,131,167,73605000
8,2,12,183,122,73605000
8,3,67,120,135,73605000
8,4,6,106,134,73605000
8,5,75,128,120,73605000
8,6,29,89,155,73605000
8,7,38,109,125,73605000
8,8,41,12,206,73605000
8,9,73,102,149,73605000
8,10,60,84,146,73605000
8,11,41,107,144,73605000
8,12,14,79,148,73605000
8,13,55,127,124,73605000
9,1,54,63,154,156830000
9,2,5,87,126,156830000
9,3,0,141,138,156830000
9,4,35,75,184,156830000
9,5,63,123,98,156830000
9,6,27,119,110,156830000
9,7,12,136,100,156830000
9,8,2,99,148,156830000
9,9,69,81,177,156830000
9,10,14,54,155,156830000
9,11,34,154,108,156830000
9,12,32,126,158,156830000
9,13,51,150,91,156830000
9,14,46,106,114,156830000
9,15,80,146,95,156830000
9,16,62,17,146,156830000
9,17,48,5,122,156830000
9,18,52,173,89,156830000
9,19,71,187,82,156830000
9,20,41,119,129,156830000
9,21,52,165,107,156830000
9,22,72,110,155,156830000
9,23,73,239,40,156830000
9,24,38,348,9,156830000
9,25,67,234,34,156830000
9,26,4,200,99,156830000
9,27,75,57,149,156830000
9,28,23,188,96,156830000
9,29,66,103,139,156830000
10,1,50,170,148,254530000
10,2,11,203,128,254530000
10,3,65,228,106,254530000
10,4,49,292,49,254530000
10,5,36,198,114,254530000
10,6,34,178,133,254530000
10,7,34,81,105,254530000
10,8,28,10,173,254530000
10,9,4,139,189,254530000
10,10,24,190,170,254530000
10,11,49,155,186,254530000
10,12,16,203,180,254530000
10,13,42,238,151,254530000
10,14,45,86,218,254530000
10,15,9,189,155,254530000
10,16,26,181,171,254530000
10,17,78,235,131,254530000
10,18,5,220,128,254530000
10,19,35,234,144,254530000
10,20,25,109,207,254530000
10,21,65,180,131,254530000
10,22,39,123,161,254530000
10,23,77,114,109,254530000
10,24,22,84,155,254530000
10,25,38,204,122,254530000
10,26,67,139,139,254530000
10,27,9,75,168,254530000
10,28,58,183,152,254530000
10,29,33,63,130,254530000
10,30,37,155,215,254530000
10,31,42,73,235,254530000
10,32,57,180,172,254530000
10,33,54,118,234,254530000
10,34,34,106,245,254530000
10,35,34,81,158,254530000
10,36,84,386,25,254530000
10,37,3,156,122,254530000
10,38,39,139,129,254530000
10,39,81,179,90,254530000
10,40,48,212,163,254530000
10,41,40,280,147,254530000
10,42,59,224,154,254530000
10,43,38,243,134,254530000
10,44,63,274,140,254530000
10,45,11,187,161,254530000
10,46,18,215,147,254530000
10,47,21,200,154,254530000
11,1,37,198,40,67777000
11,2,33,205,81,67777000
11,3,24,42,166,67777000
11,4,54,75,127,67777000
11,5,52,119,96,67777000
11,6,22,116,131,67777000
11,7,31,15,156,67777000
11,8,76,83,115,67777000
11,9,47,147,60,67777000
11,10,19,97,118,67777000
11,11,39,27,142,67777000
11,12,34,97,137,67777000
12,1,26,165,123,77925000
12,2,30,173,125,77925000
12,3,15,35,174,77925000
12,4,11,40,163,77925000
12,5,14,139,98,77925000
12,6,32,125,112,77925000
12,7,49,159,90,77925000
12,8,22,245,91,77925000
12,9,28,204,104,77925000
12,10,59,110,127,77925000
12,11,59,105,125,77925000
12,12,42,66,132,77925000
12,13,30,289,12,77925000
12,14,17,305,36,77925000
