# model_ID,resid_ID, disk_angle, dist2sk, disk2surf, vol
0,1,62,194,40,185650000
0,2,43,96,179,185650000
0,3,12,136,142,185650000
0,4,29,167,132,185650000
0,5,5,95,169,185650000
0,6,8,199,76,185650000
0,7,6,76,79,185650000
0,8,1,113,159,185650000
0,9,12,128,148,185650000
0,10,22,183,104,185650000
0,11,49,51,173,185650000
0,12,5,65,162,185650000
0,13,46,49,166,185650000
0,14,25,145,67,185650000
0,15,37,43,139,185650000
0,16,57,146,97,185650000
0,17,29,90,129,185650000
0,18,9,90,138,185650000
0,19,28,100,148,185650000
0,20,14,102,120,185650000
0,21,68,92,186,185650000
0,22,52,96,157,185650000
0,23,4,224,106,185650000
0,24,30,254,37,185650000
0,25,16,113,157,185650000
0,26,14,206,117,185650000
0,27,24,108,114,185650000
0,28,33,90,103,185650000
0,29,70,241,8,185650000
0,30,6,77,161,185650000
0,31,62,194,40,185650000
0,32,43,96,179,185650000
0,33,12,136,142,185650000
0,34,29,167,132,185650000
0,35,5,95,169,185650000
0,36,8,199,76,185650000
0,37,6,76,79,185650000
0,38,1,113,159,185650000
0,39,12,128,148,185650000
0,40,22,183,104,185650000
0,41,49,51,173,185650000
0,42,5,65,162,185650000
0,43,46,49,166,185650000
0,44,25,145,67,185650000
0,45,37,43,139,185650000
0,46,57,146,97,185650000
0,47,29,90,129,185650000
0,48,9,90,138,185650000
0,49,28,100,148,185650000
0,50,14,102,120,185650000
0,51,68,92,186,185650000
0,52,52,96,157,185650000
0,53,4,224,106,185650000
0,54,30,254,37,185650000
0,55,16,113,157,185650000
0,56,14,206,117,185650000
0,57,24,108,114,185650000
0,58,33,90,103,185650000
0,59,70,241,8,185650000
0,60,6,77,161,185650000
1,1,24,58,101,176180000
1,2,55,218,95,176180000
1,3,9,50,136,176180000
1,4,40,13,151,176180000
1,5,58,190,105,176180000
1,6,14,211,49,176180000
1,7,74,146,114,176180000
1,8,80,78,159,176180000
1,9,21,167,129,176180000
1,10,18,195,96,176180000
1,11,5,133,85,176180000
1,12,7,149,84,176180000
1,13,44,126,120,176180000
1,14,51,160,141,176180000
1,15,47,232,58,176180000
1,16,27,223,56,176180000
1,17,4,88,107,176180000
1,18,62,48,166,176180000
1,19,21,13,153,176180000
1,20,81,59,129,176180000
1,21,0,47,38,176180000
1,22,38,129,77,176180000
1,23,79,37,127,176180000
1,24,21,183,29,176180000
1,25,2,99,150,176180000
1,26,46,159,119,176180000
1,27,27,87,116,176180000
1,28,65,126,78,176180000
1,29,70,136,123,176180000
1,30,40,273,27,176180000
1,31,72,138,79,176180000
1,32,80,281,104,176180000
1,33,24,58,101,176180000
1,34,55,218,95,176180000
1,35,9,50,136,176180000
1,36,40,13,151,176180000
1,37,58,190,105,176180000
1,38,14,211,49,176180000
1,39,74,146,114,176180000
1,40,80,78,159,176180000
1,41,21,167,129,176180000
1,42,18,195,96,176180000
1,43,5,133,85,176180000
1,44,7,149,84,176180000
1,45,44,126,120,176180000
1,46,51,160,141,176180000
1,47,47,232,58,176180000
1,48,27,223,56,176180000
1,49,4,88,107,176180000
1,50,62,48,166,176180000
1,51,21,13,153,176180000
1,52,81,59,129,176180000
1,53,0,47,38,176180000
1,54,38,129,77,176180000
1,55,79,37,127,176180000
1,56,21,183,29,176180000
1,57,2,99,150,176180000
1,58,46,159,119,176180000
1,59,27,87,116,176180000
1,60,65,126,78,176180000
1,61,70,136,123,176180000
1,62,40,273,27,176180000
1,63,72,138,79,176180000
1,64,80,281,104,176180000
2,1,32,117,126,110420000
2,2,1,46,186,110420000
2,3,49,108,166,110420000
2,4,14,125,116,110420000
2,5,17,162,63,110420000
2,6,39,93,125,110420000
2,7,21,56,140,110420000
2,8,4,137,111,110420000
2,9,36,86,153,110420000
2,10,22,67,119,110420000
2,11,36,305,15,110420000
2,12,30,92,106,110420000
2,13,18,87,114,110420000
2,14,24,49,135,110420000
2,15,15,39,132,110420000
2,16,0,111,73,110420000
2,17,28,209,126,110420000
2,18,24,287,83,110420000
2,19,55,284,97,110420000
2,20,44,200,111,110420000
2,21,32,209,93,110420000
2,22,11,368,21,110420000
2,23,32,117,126,110420000
2,24,1,46,186,110420000
2,25,49,108,166,110420000
2,26,14,125,116,110420000
2,27,17,162,63,110420000
2,28,39,93,125,110420000
2,29,21,56,140,110420000
2,30,4,137,111,110420000
