# model_ID,resid_ID, disk_angle, dist2sk, disk2surf, vol
0,1,58,114,126,208700000
0,2,14,116,113,208700000
0,3,38,162,117,208700000
0,4,31,170,66,208700000
0,5,11,114,132,208700000
0,6,11,124,116,208700000
0,7,25,35,162,208700000
0,8,24,92,155,208700000
0,9,51,83,144,208700000
0,10,14,265,85,208700000
0,11,8,328,40,208700000
0,12,6,14,103,208700000
0,13,65,208,71,208700000
0,14,7,26,117,208700000
0,15,30,101,77,208700000
0,16,6,79,83,208700000
0,17,34,38,127,208700000
0,18,2,68,146,208700000
0,19,67,7,214,208700000
0,20,30,67,156,208700000
0,21,49,34,178,208700000
0,22,56,30,156,208700000
0,23,39,56,167,208700000
0,24,37,127,102,208700000
0,25,51,178,71,208700000
0,26,19,109,121,208700000
0,27,12,163,95,208700000
0,28,12,184,109,208700000
0,29,65,92,188,208700000
0,30,68,143,136,208700000
0,31,38,81,131,208700000
0,32,59,26,170,208700000
0,33,3,49,156,208700000
0,34,7,46,124,208700000
0,35,18,193,26,208700000
1,1,41,140,100,153020000
1,2,58,221,12,153020000
1,3,15,201,50,153020000
1,4,46,192,81,153020000
1,5,34,195,81,153020000
1,6,50,120,102,153020000
1,7,13,145,128,153020000
1,8,2,149,116,153020000
1,9,28,84,127,153020000
1,10,26,20,179,153020000
1,11,38,46,149,153020000
1,12,55,99,116,153020000
1,13,9,68,125,153020000
1,14,31,133,54,153020000
1,15,12,57,159,153020000
1,16,42,74,127,153020000
1,17,69,177,52,153020000
1,18,56,103,101,153020000
1,19,21,133,109,153020000
1,20,31,85,140,153020000
1,21,83,21,176,153020000
1,22,30,108,110,153020000
1,23,47,108,94,153020000
1,24,38,119,107,153020000
1,25,47,65,139,153020000
1,26,73,91,130,153020000
1,27,15,136,123,153020000
1,28,23,57,153,153020000
1,29,10,54,156,153020000
1,30,47,184,87,153020000
1,31,40,118,100,153020000
2,1,17,115,99,79868000
2,2,49,144,116,79868000
2,3,25,208,65,79868000
2,4,11,6,165,79868000
2,5,11,18,169,79868000
2,6,2,85,136,79868000
2,7,46,128,97,79868000
2,8,11,99,133,79868000
2,9,10,42,146,79868000
2,10,14,193,40,79868000
2,11,54,157,85,79868000
2,12,34,157,78,79868000
2,13,71,111,91,79868000
2,14,51,190,96,79868000
2,15,17,191,86,79868000
3,1,8,212,35,56278000
3,2,45,139,90,56278000
3,3,6,107,107,56278000
3,4,13,101,133,56278000
3,5,14,67,125,56278000
3,6,43,68,134,56278000
3,7,3,50,160,56278000
3,8,2,73,132,56278000
3,9,19,139,91,56278000
3,10,38,198,67,56278000
3,11,23,130,108,56278000
3,12,31,193,43,56278000
3,13,17,156,88,56278000
4,1,3,195,73,104000000
4,2,27,31,118,104000000
4,3,38,67,85,104000000
4,4,70,80,74,104000000
4,5,46,204,77,104000000
4,6,12,117,106,104000000
4,7,1,31,172,104000000
4,8,54,164,99,104000000
4,9,19,165,66,104000000
4,10,17,140,123,104000000
4,11,47,122,134,104000000
4,12,35,84,101,104000000
4,13,21,30,152,104000000
4,14,40,82,135,104000000
4,15,42,34,139,104000000
4,16,7,154,118,104000000
4,17,35,111,129,104000000
5,1,28,149,81,71548000
5,2,59,202,26,71548000
5,3,61,303,7,71548000
5,4,37,223,58,71548000
5,5,2,83,122,71548000
5,6,51,88,145,71548000
5,7,25,43,148,71548000
5,8,21,111,119,71548000
5,9,40,58,126,71548000
5,10,51,98,106,71548000
5,11,41,69,106,71548000
5,12,41,93,107,71548000
5,13,16,62,149,71548000
5,14,11,170,82,71548000
5,15,0,189,69,71548000
6,1,21,173,81,61267000
6,2,7,201,59,61267000
6,3,5,54,52,61267000
6,4,22,71,150,61267000
6,5,57,74,121,61267000
6,6,47,147,127,61267000
6,7,27,203,88,61267000
6,8,56,135,93,61267000
6,9,51,128,101,61267000
6,10,14,63,158,61267000
6,11,51,47,114,61267000
6,12,50,222,53,61267000
6,13,35,168,75,61267000
7,1,1,237,24,81971000
7,2,52,162,91,81971000
7,3,30,150,103,81971000
7,4,7,232,77,81971000
7,5,32,222,83,81971000
7,6,55,31,179,81971000
7,7,38,91,119,81971000
7,8,16,35,169,81971000
7,9,36,57,137,81971000
7,10,67,68,146,81971000
7,11,51,56,139,81971000
7,12,16,93,136,81971000
7,13,66,165,82,81971000
7,14,4,247,83,81971000
7,15,18,254,78,81971000
8,1,23,316,29,56054000
8,2,81,148,99,56054000
8,3,15,110,101,56054000
8,4,39,99,114,56054000
8,5,41,72,110,56054000
8,6,64,149,122,56054000
8,7,19,117,133,56054000
8,8,12,11,160,56054000
