# model_ID,resid_ID, disk_angle, dist2sk, disk2surf, vol
0,1,11,183,118,205320000
0,2,34,158,136,205320000
0,3,23,95,190,205320000
0,4,70,97,188,205320000
0,5,67,122,179,205320000
0,6,9,278,98,205320000
0,7,37,226,97,205320000
0,8,74,220,122,205320000
0,9,22,216,139,205320000
0,10,32,186,141,205320000
0,11,19,227,112,205320000
0,12,61,129,175,205320000
0,13,9,218,115,205320000
0,14,15,70,193,205320000
0,15,32,190,142,205320000
0,16,13,152,167,205320000
0,17,10,69,189,205320000
0,18,2,121,147,205320000
0,19,50,139,141,205320000
0,20,13,117,130,205320000
0,21,83,77,140,205320000
0,22,48,108,149,205320000
0,23,44,36,226,205320000
0,24,52,96,174,205320000
0,25,6,64,190,205320000
0,26,1,47,209,205320000
0,27,60,214,109,205320000
0,28,24,83,176,205320000
0,29,29,108,194,205320000
1,1,61,80,123,441060000
1,2,55,20,156,441060000
1,3,66,33,143,441060000
1,4,16,67,145,441060000
1,5,17,34,189,441060000
1,6,17,133,173,441060000
1,7,32,203,122,441060000
1,8,36,225,125,441060000
1,9,23,184,147,441060000
1,10,15,260,11,441060000
1,11,17,246,111,441060000
1,12,25,240,100,441060000
1,13,13,314,76,441060000
1,14,31,321,91,441060000
1,15,7,258,103,441060000
1,16,16,80,172,441060000
1,17,32,75,170,441060000
1,18,40,96,176,441060000
1,19,0,49,175,441060000
1,20,5,22,214,441060000
1,21,33,101,148,441060000
1,22,1,197,96,441060000
1,23,3,171,125,441060000
1,24,26,55,196,441060000
1,25,15,72,173,441060000
1,26,41,107,151,441060000
1,27,33,94,137,441060000
1,28,21,72,119,441060000
1,29,17,36,147,441060000
1,30,43,113,125,441060000
1,31,46,42,196,441060000
1,32,40,58,144,441060000
1,33,45,203,3,441060000
1,34,37,204,132,441060000
1,35,49,202,127,441060000
1,36,68,94,165,441060000
1,37,27,157,155,441060000
1,38,0,146,149,441060000
1,39,9,109,194,441060000
1,40,19,66,203,441060000
1,41,14,66,198,441060000
1,42,56,103,194,441060000
1,43,16,43,198,441060000
1,44,68,184,119,441060000
1,45,36,19,180,441060000
1,46,0,57,144,441060000
1,47,76,135,91,441060000
1,48,63,84,120,441060000
1,49,52,87,179,441060000
1,50,55,50,225,441060000
1,51,38,94,180,441060000
1,52,41,101,218,441060000
1,53,14,105,211,441060000
1,54,6,90,131,441060000
1,55,33,111,111,441060000
1,56,53,75,107,441060000
1,57,62,18,165,441060000
1,58,11,76,126,441060000
1,59,55,76,121,441060000
1,60,47,99,134,441060000
1,61,58,76,147,441060000
1,62,22,34,166,441060000
1,63,44,23,151,441060000
1,64,39,22,171,441060000
1,65,56,207,147,441060000
1,66,40,251,131,441060000
2,1,51,196,142,235490000
2,2,4,293,97,235490000
2,3,3,198,123,235490000
2,4,10,187,130,235490000
2,5,23,287,60,235490000
2,6,20,190,185,235490000
2,7,4,237,124,235490000
2,8,17,184,157,235490000
2,9,75,347,127,235490000
2,10,31,34,217,235490000
2,11,37,61,201,235490000
2,12,24,82,210,235490000
2,13,36,236,132,235490000
2,14,71,144,191,235490000
2,15,27,218,170,235490000
2,16,36,174,211,235490000
2,17,33,132,186,235490000
2,18,36,249,131,235490000
2,19,33,340,68,235490000
2,20,16,422,106,235490000
2,21,10,418,121,235490000
2,22,2,426,135,235490000
2,23,10,89,202,235490000
2,24,8,98,167,235490000
2,25,59,133,172,235490000
2,26,45,154,161,235490000
2,27,36,146,186,235490000
2,28,31,70,215,235490000
2,29,48,29,268,235490000
2,30,22,110,195,235490000
2,31,9,73,238,235490000
2,32,10,112,202,235490000
2,33,70,165,139,235490000
2,34,61,78,245,235490000
2,35,6,262,134,235490000
2,36,44,293,127,235490000
2,37,0,253,147,235490000
2,38,12,225,206,235490000
2,39,12,202,187,235490000
2,40,11,120,216,235490000
2,41,14,249,142,235490000
3,1,26,327,45,397920000
3,2,8,163,151,397920000
3,3,31,235,130,397920000
3,4,68,110,191,397920000
3,5,16,101,180,397920000
3,6,10,163,158,397920000
3,7,36,157,153,397920000
3,8,46,170,137,397920000
3,9,39,188,161,397920000
3,10,40,174,138,397920000
3,11,39,146,183,397920000
3,12,44,52,197,397920000
3,13,59,109,162,397920000
3,14,3,132,108,397920000
3,15,40,160,173,397920000
3,16,13,246,99,397920000
3,17,22,197,151,397920000
3,18,45,105,198,397920000
3,19,14,48,226,397920000
3,20,26,58,222,397920000
3,21,11,253,90,397920000
3,22,61,89,108,397920000
3,23,36,145,85,397920000
3,24,26,54,121,397920000
3,25,1,15,161,397920000
3,26,19,161,195,397920000
3,27,56,189,159,397920000
3,28,75,267,105,397920000
3,29,4,192,126,397920000
3,30,64,143,175,397920000
3,31,53,61,250,397920000
3,32,62,214,115,397920000
3,33,10,85,172,397920000
3,34,2,37,247,397920000
3,35,22,63,207,397920000
3,36,60,126,197,397920000
3,37,29,55,206,397920000
3,38,29,69,211,397920000
3,39,42,29,242,397920000
3,40,63,20,175,397920000
3,41,27,123,136,397920000
3,42,20,133,164,397920000
3,43,27,89,218,397920000
3,44,17,185,148,397920000
3,45,3,172,139,397920000
3,46,6,120,182,397920000
3,47,30,136,216,397920000
3,48,53,151,144,397920000
3,49,8,128,154,397920000
3,50,52,76,229,397920000
3,51,53,75,155,397920000
3,52,46,98,170,397920000
3,53,55,19,256,397920000
3,54,10,142,150,397920000
3,55,32,40,200,397920000
3,56,9,83,188,397920000
3,57,44,49,167,397920000
3,58,38,128,181,397920000
3,59,3,98,157,397920000
3,60,34,185,119,397920000
3,61,14,145,152,397920000
3,62,14,147,114,397920000
3,63,55,270,96,397920000
3,64,51,266,113,397920000
3,65,28,229,119,397920000
4,1,10,163,133,167530000
4,2,8,142,97,167530000
4,3,58,57,142,167530000
4,4,51,40,131,167530000
4,5,22,35,134,167530000
4,6,80,195,27,167530000
4,7,6,70,182,167530000
4,8,38,92,162,167530000
4,9,0,52,194,167530000
4,10,40,133,120,167530000
4,11,26,199,121,167530000
4,12,25,168,139,167530000
4,13,32,149,151,167530000
4,14,41,60,164,167530000
4,15,68,64,177,167530000
4,16,79,102,138,167530000
4,17,9,25,198,167530000
4,18,28,63,157,167530000
4,19,28,111,105,167530000
4,20,33,133,90,167530000
4,21,14,98,109,167530000
4,22,72,63,207,167530000
4,23,57,127,166,167530000
4,24,49,293,80,167530000
4,25,21,169,113,167530000
5,1,43,149,60,334590000
5,2,33,251,103,334590000
5,3,3,76,167,334590000
5,4,31,11,141,334590000
5,5,51,57,134,334590000
5,6,36,63,119,334590000
5,7,16,126,142,334590000
5,8,5,290,83,334590000
5,9,3,313,54,334590000
5,10,48,8,162,334590000
5,11,45,72,120,334590000
5,12,25,71,115,334590000
5,13,32,87,99,334590000
5,14,20,121,133,334590000
5,15,6,162,108,334590000
5,16,26,54,146,334590000
5,17,6,35,138,334590000
5,18,62,79,114,334590000
5,19,20,19,166,334590000
5,20,46,75,126,334590000
5,21,24,78,155,334590000
5,22,4,44,171,334590000
5,23,34,62,145,334590000
5,24,33,26,171,334590000
5,25,35,94,114,334590000
5,26,16,32,163,334590000
5,27,42,30,156,334590000
5,28,1,110,94,334590000
5,29,25,75,123,334590000
5,30,19,50,149,334590000
5,31,44,18,132,334590000
5,32,60,103,109,334590000
5,33,42,181,45,334590000
5,34,25,120,110,334590000
5,35,37,85,150,334590000
5,36,57,64,150,334590000
5,37,39,101,115,334590000
5,38,5,24,225,334590000
5,39,7,202,84,334590000
5,40,15,208,106,334590000
5,41,4,240,41,334590000
5,42,69,231,120,334590000
5,43,7,221,129,334590000
5,44,18,118,172,334590000
5,45,42,55,122,334590000
5,46,21,163,135,334590000
5,47,19,40,209,334590000
5,48,9,91,170,334590000
5,49,36,91,117,334590000
5,50,13,202,80,334590000
5,51,14,238,31,334590000
6,1,35,8,180,158170000
6,2,22,66,150,158170000
6,3,4,322,82,158170000
6,4,22,212,136,158170000
6,5,27,203,93,158170000
6,6,11,203,97,158170000
6,7,51,163,124,158170000
6,8,21,67,117,158170000
6,9,31,231,101,158170000
6,10,13,190,125,158170000
