# model_ID,resid_ID, disk_angle, dist2sk, disk2surf, vol
0,1,5,265,140,6362700000
0,2,21,260,112,6362700000
0,3,17,647,53,6362700000
0,4,44,345,79,6362700000
0,5,18,588,42,6362700000
0,6,5,659,42,6362700000
0,7,6,236,153,6362700000
0,8,65,552,119,6362700000
0,9,6,316,357,6362700000
0,10,44,194,242,6362700000
0,11,17,229,252,6362700000
0,12,45,551,49,6362700000
0,13,39,502,214,6362700000
0,14,60,551,146,6362700000
0,15,37,112,213,6362700000
0,16,19,150,208,6362700000
0,17,35,543,284,6362700000
0,18,37,524,323,6362700000
0,19,41,845,177,6362700000
0,20,13,603,244,6362700000
0,21,24,260,190,6362700000
0,22,42,127,146,6362700000
0,23,21,217,277,6362700000
0,24,8,382,120,6362700000
0,25,15,334,164,6362700000
0,26,28,51,291,6362700000
0,27,14,165,140,6362700000
0,28,3,712,73,6362700000
0,29,0,734,95,6362700000
0,30,31,106,216,6362700000
0,31,14,150,409,6362700000
0,32,1,216,355,6362700000
0,33,10,309,166,6362700000
0,34,69,400,422,6362700000
0,35,19,448,376,6362700000
0,36,66,507,297,6362700000
0,37,39,189,396,6362700000
0,38,48,434,153,6362700000
0,39,28,492,266,6362700000
0,40,63,367,342,6362700000
0,41,35,119,332,6362700000
0,42,34,410,280,6362700000
0,43,3,589,79,6362700000
0,44,18,559,144,6362700000
0,45,11,661,220,6362700000
0,46,89,1051,135,6362700000
0,47,13,151,85,6362700000
0,48,77,760,331,6362700000
0,49,51,352,387,6362700000
0,50,28,560,81,6362700000
0,51,29,240,360,6362700000
0,52,27,252,404,6362700000
0,53,18,295,421,6362700000
0,54,3,736,44,6362700000
0,55,2,655,114,6362700000
0,56,41,1041,95,6362700000
0,57,9,341,104,6362700000
0,58,68,528,130,6362700000
0,59,9,706,341,6362700000
0,60,26,667,409,6362700000
0,61,2,642,108,6362700000
0,62,50,553,173,6362700000
0,63,28,636,210,6362700000
0,64,58,558,164,6362700000
0,65,24,464,66,6362700000
0,66,15,430,86,6362700000
0,67,37,241,465,6362700000
0,68,33,186,359,6362700000
0,69,49,172,446,6362700000
0,70,8,208,447,6362700000
0,71,3,418,90,6362700000
0,72,54,376,224,6362700000
0,73,30,394,265,6362700000
0,74,41,427,327,6362700000
0,75,72,434,255,6362700000
0,76,42,864,143,6362700000
0,77,11,832,196,6362700000
0,78,19,875,140,6362700000
0,79,34,446,314,6362700000
0,80,9,523,100,6362700000
0,81,87,512,116,6362700000
0,82,11,187,205,6362700000
0,83,39,349,176,6362700000
0,84,12,284,252,6362700000
0,85,4,233,94,6362700000
0,86,42,262,134,6362700000
0,87,30,383,125,6362700000
0,88,68,307,143,6362700000
0,89,59,245,179,6362700000
0,90,7,336,129,6362700000
0,91,78,475,144,6362700000
0,92,64,514,149,6362700000
0,93,42,398,151,6362700000
