# model_ID,resid_ID, disk_angle, dist2sk, disk2surf, vol
0,1,25,140,157,105740000
0,2,12,290,49,105740000
0,3,21,70,185,105740000
0,4,41,126,126,105740000
0,5,15,131,113,105740000
0,6,33,160,132,105740000
0,7,27,92,189,105740000
0,8,2,161,154,105740000
0,9,30,303,69,105740000
0,10,3,235,114,105740000
0,11,9,157,172,105740000
0,12,38,107,183,105740000
0,13,5,127,158,105740000
0,14,53,156,143,105740000
0,15,31,195,106,105740000
0,16,46,64,173,105740000
0,17,11,345,23,105740000
1,1,14,180,160,708170000
1,2,67,254,112,708170000
1,3,20,253,169,708170000
1,4,51,345,117,708170000
1,5,36,147,126,708170000
1,6,52,191,110,708170000
1,7,76,261,102,708170000
1,8,86,263,131,708170000
1,9,4,276,116,708170000
1,10,36,252,107,708170000
1,11,67,333,110,708170000
1,12,65,230,156,708170000
1,13,34,194,133,708170000
1,14,12,9,179,708170000
1,15,23,78,161,708170000
1,16,87,82,167,708170000
1,17,0,165,193,708170000
1,18,27,198,163,708170000
1,19,36,177,138,708170000
1,20,47,253,134,708170000
1,21,4,259,111,708170000
1,22,62,409,103,708170000
1,23,13,335,157,708170000
1,24,1,325,136,708170000
1,25,19,92,208,708170000
1,26,23,159,136,708170000
1,27,24,87,244,708170000
1,28,62,197,163,708170000
1,29,54,158,197,708170000
1,30,25,138,161,708170000
1,31,43,121,196,708170000
1,32,13,125,160,708170000
1,33,45,31,248,708170000
1,34,55,98,197,708170000
1,35,9,41,238,708170000
1,36,43,174,202,708170000
1,37,57,190,136,708170000
1,38,51,252,132,708170000
1,39,13,57,266,708170000
1,40,5,114,200,708170000
1,41,41,160,158,708170000
1,42,44,124,206,708170000
1,43,1,75,196,708170000
1,44,26,78,242,708170000
1,45,18,186,163,708170000
1,46,21,259,140,708170000
1,47,33,135,216,708170000
1,48,11,253,147,708170000
1,49,16,211,191,708170000
1,50,0,272,132,708170000
1,51,11,299,106,708170000
1,52,5,169,181,708170000
1,53,2,154,213,708170000
1,54,20,177,221,708170000
1,55,47,109,181,708170000
1,56,53,170,156,708170000
1,57,19,120,238,708170000
1,58,62,235,145,708170000
1,59,80,205,173,708170000
1,60,52,175,152,708170000
1,61,55,196,142,708170000
1,62,24,124,192,708170000
1,63,68,250,114,708170000
1,64,26,125,183,708170000
1,65,30,151,202,708170000
1,66,35,186,150,708170000
1,67,7,291,137,708170000
1,68,71,324,110,708170000
1,69,24,297,93,708170000
1,70,88,341,103,708170000
1,71,49,87,203,708170000
1,72,53,74,202,708170000
1,73,25,96,165,708170000
1,74,57,116,183,708170000
1,75,37,155,124,708170000
1,76,17,189,94,708170000
1,77,12,118,174,708170000
1,78,56,28,254,708170000
1,79,11,105,208,708170000
1,80,46,83,248,708170000
1,81,15,113,169,708170000
1,82,33,45,234,708170000
1,83,12,59,200,708170000
1,84,71,90,221,708170000
1,85,9,150,180,708170000
1,86,5,103,155,708170000
1,87,37,187,177,708170000
1,88,42,113,168,708170000
1,89,4,168,106,708170000
1,90,17,78,154,708170000
1,91,25,85,182,708170000
1,92,14,35,203,708170000
1,93,46,71,157,708170000
1,94,85,69,158,708170000
1,95,39,13,200,708170000
1,96,57,151,142,708170000
1,97,37,142,214,708170000
1,98,82,181,208,708170000
1,99,56,218,174,708170000
1,100,52,285,155,708170000
1,101,27,362,98,708170000
1,102,47,139,237,708170000
1,103,35,262,149,708170000
1,104,42,177,216,708170000
1,105,4,75,228,708170000
1,106,36,63,226,708170000
1,107,48,97,146,708170000
2,1,45,211,90,219070000
2,2,14,63,160,219070000
2,3,10,6,189,219070000
2,4,27,77,136,219070000
2,5,3,195,116,219070000
2,6,34,197,97,219070000
2,7,32,141,153,219070000
2,8,63,240,53,219070000
2,9,67,120,158,219070000
2,10,58,184,89,219070000
2,11,14,101,157,219070000
