# model_ID,resid_ID, disk_angle, dist2sk, disk2surf, vol
0,1,12,427,103,227490000
0,2,66,386,69,227490000
0,3,13,192,129,227490000
0,4,66,157,164,227490000
0,5,4,193,148,227490000
0,6,15,143,192,227490000
0,7,5,187,171,227490000
0,8,13,214,123,227490000
0,9,53,176,145,227490000
0,10,36,143,228,227490000
0,11,35,150,164,227490000
0,12,50,151,186,227490000
0,13,83,177,154,227490000
0,14,52,162,165,227490000
0,15,35,147,198,227490000
0,16,73,216,114,227490000
0,17,18,170,166,227490000
0,18,3,72,273,227490000
0,19,57,256,142,227490000
0,20,0,395,124,227490000
0,21,24,358,126,227490000
0,22,36,319,160,227490000
0,23,46,171,152,227490000
0,24,69,217,140,227490000
0,25,64,214,167,227490000
0,26,18,197,148,227490000
0,27,17,216,171,227490000
0,28,33,229,164,227490000
0,29,55,123,253,227490000
0,30,7,194,173,227490000
0,31,41,232,137,227490000
0,32,54,182,179,227490000
0,33,30,229,108,227490000
0,34,5,115,266,227490000
0,35,74,148,192,227490000
0,36,26,131,205,227490000
0,37,57,181,165,227490000
0,38,37,220,137,227490000
0,39,35,76,259,227490000
0,40,22,196,152,227490000
0,41,24,150,215,227490000
0,42,43,217,161,227490000
0,43,21,114,210,227490000
1,1,55,112,160,116020000
1,2,9,111,168,116020000
1,3,51,124,154,116020000
1,4,62,93,157,116020000
1,5,22,131,140,116020000
1,6,26,104,140,116020000
1,7,42,93,189,116020000
1,8,1,61,76,116020000
1,9,54,25,167,116020000
1,10,75,98,181,116020000
1,11,17,135,167,116020000
1,12,46,156,124,116020000
1,13,24,160,120,116020000
1,14,73,136,153,116020000
1,15,61,111,173,116020000
1,16,65,22,242,116020000
1,17,33,119,158,116020000
1,18,12,128,145,116020000
1,19,17,124,156,116020000
1,20,14,86,153,116020000
1,21,68,103,140,116020000
1,22,45,164,144,116020000
1,23,53,137,143,116020000
1,24,29,72,38,116020000
1,25,41,51,88,116020000
1,26,29,51,56,116020000
2,1,6,170,132,127380000
2,2,15,189,131,127380000
2,3,7,182,136,127380000
2,4,50,64,249,127380000
2,5,38,188,129,127380000
2,6,68,169,147,127380000
2,7,21,156,141,127380000
2,8,1,150,146,127380000
2,9,25,144,176,127380000
2,10,46,155,160,127380000
2,11,36,172,148,127380000
2,12,33,126,165,127380000
2,13,41,93,199,127380000
2,14,33,177,130,127380000
2,15,13,109,175,127380000
2,16,7,138,167,127380000
2,17,25,170,136,127380000
2,18,41,144,156,127380000
2,19,56,202,118,127380000
2,20,4,106,188,127380000
2,21,47,69,218,127380000
2,22,70,137,146,127380000
2,23,3,149,151,127380000
2,24,39,134,155,127380000
2,25,1,171,136,127380000
2,26,79,143,148,127380000
2,27,57,154,153,127380000
2,28,32,80,220,127380000
3,1,74,171,161,189960000
3,2,55,140,224,189960000
3,3,7,160,193,189960000
3,4,23,150,178,189960000
3,5,59,172,148,189960000
3,6,76,220,183,189960000
3,7,18,165,222,189960000
3,8,56,212,175,189960000
3,9,4,142,206,189960000
3,10,66,213,159,189960000
3,11,15,202,151,189960000
3,12,6,164,187,189960000
3,13,17,227,135,189960000
3,14,0,127,208,189960000
3,15,26,196,146,189960000
3,16,63,169,155,189960000
3,17,3,150,176,189960000
3,18,37,68,275,189960000
3,19,26,86,260,189960000
3,20,12,182,163,189960000
3,21,0,154,195,189960000
3,22,76,187,190,189960000
3,23,12,184,169,189960000
3,24,11,196,150,189960000
3,25,2,186,168,189960000
3,26,39,209,158,189960000
3,27,6,179,172,189960000
3,28,7,197,172,189960000
3,29,30,185,154,189960000
3,30,70,184,159,189960000
3,31,5,179,189,189960000
3,32,32,172,167,189960000
3,33,51,184,163,189960000
3,34,6,152,191,189960000
3,35,57,158,161,189960000
3,36,26,155,182,189960000
3,37,79,181,161,189960000
3,38,34,178,162,189960000
3,39,59,60,269,189960000
3,40,79,198,175,189960000
3,41,28,167,198,189960000
3,42,30,291,107,189960000
3,43,35,199,178,189960000
3,44,77,271,110,189960000
3,45,15,199,160,189960000
4,1,2,307,25,88264000
4,2,44,125,129,88264000
4,3,10,113,138,88264000
4,4,16,150,144,88264000
4,5,4,163,119,88264000
4,6,5,119,175,88264000
4,7,29,127,141,88264000
4,8,23,118,129,88264000
4,9,27,91,157,88264000
4,10,45,141,135,88264000
4,11,69,210,94,88264000
4,12,13,87,167,88264000
4,13,65,105,144,88264000
4,14,40,135,137,88264000
4,15,27,94,147,88264000
4,16,44,122,136,88264000
4,17,39,101,137,88264000
4,18,26,25,204,88264000
5,1,51,266,54,117300000
5,2,56,384,12,117300000
5,3,36,127,171,117300000
5,4,61,136,155,117300000
5,5,14,128,172,117300000
5,6,26,96,183,117300000
5,7,31,115,169,117300000
5,8,35,56,185,117300000
5,9,11,148,171,117300000
5,10,57,153,145,117300000
5,11,23,179,144,117300000
5,12,21,147,150,117300000
5,13,7,93,200,117300000
5,14,85,119,172,117300000
5,15,54,215,121,117300000
5,16,20,107,192,117300000
5,17,23,120,184,117300000
5,18,37,133,154,117300000
5,19,16,102,167,117300000
5,20,55,150,148,117300000
5,21,32,116,173,117300000
