# model_ID,resid_ID, disk_angle, dist2sk, disk2surf, vol
0,1,20,121,117,270810000
0,2,45,223,72,270810000
0,3,24,202,60,270810000
0,4,11,132,137,270810000
0,5,4,247,73,270810000
0,6,13,355,47,270810000
0,7,63,259,114,270810000
0,8,8,167,154,270810000
0,9,51,313,70,270810000
0,10,64,140,116,270810000
0,11,16,117,139,270810000
0,12,16,114,141,270810000
0,13,1,103,149,270810000
0,14,12,99,170,270810000
0,15,66,178,94,270810000
0,16,74,398,11,270810000
0,17,26,264,61,270810000
0,18,9,22,150,270810000
0,19,1,146,121,270810000
0,20,4,101,163,270810000
0,21,42,122,140,270810000
0,22,15,188,104,270810000
0,23,27,96,146,270810000
0,24,65,273,82,270810000
0,25,48,215,90,270810000
0,26,5,21,174,270810000
0,27,3,71,117,270810000
0,28,21,52,140,270810000
0,29,41,125,155,270810000
0,30,54,165,118,270810000
0,31,1,96,149,270810000
0,32,29,187,127,270810000
0,33,22,305,100,270810000
0,34,30,251,114,270810000
0,35,50,121,125,270810000
0,36,2,11,227,270810000
0,37,22,81,149,270810000
0,38,24,122,146,270810000
0,39,6,167,118,270810000
0,40,38,117,151,270810000
0,41,29,172,87,270810000
0,42,35,146,118,270810000
0,43,58,169,149,270810000
0,44,37,205,104,270810000
0,45,17,172,125,270810000
0,46,21,220,69,270810000
0,47,37,123,134,270810000
0,48,23,98,136,270810000
1,1,44,404,50,341220000
1,2,63,187,160,341220000
1,3,5,399,49,341220000
1,4,28,383,83,341220000
1,5,13,435,61,341220000
1,6,30,179,108,341220000
1,7,14,115,163,341220000
1,8,1,150,158,341220000
1,9,25,162,115,341220000
1,10,62,206,103,341220000
1,11,28,286,144,341220000
1,12,17,264,132,341220000
1,13,10,333,75,341220000
1,14,65,300,133,341220000
1,15,66,230,167,341220000
1,16,50,330,101,341220000
1,17,11,263,134,341220000
1,18,41,293,114,341220000
1,19,39,227,131,341220000
1,20,61,202,84,341220000
1,21,53,142,89,341220000
1,22,59,111,165,341220000
1,23,24,172,123,341220000
1,24,12,261,77,341220000
1,25,82,184,131,341220000
1,26,0,97,187,341220000
1,27,57,142,164,341220000
1,28,52,400,51,341220000
1,29,16,285,125,341220000
1,30,15,244,140,341220000
1,31,3,204,163,341220000
1,32,40,213,155,341220000
1,33,42,83,129,341220000
1,34,2,41,130,341220000
1,35,17,50,138,341220000
1,36,58,56,188,341220000
1,37,42,158,104,341220000
1,38,15,139,106,341220000
1,39,30,45,194,341220000
1,40,25,134,160,341220000
1,41,3,349,70,341220000
1,42,70,300,110,341220000
1,43,58,263,108,341220000
1,44,41,123,114,341220000
1,45,43,76,149,341220000
1,46,23,36,203,341220000
1,47,72,104,128,341220000
1,48,3,42,189,341220000
1,49,41,80,160,341220000
1,50,20,179,101,341220000
1,51,61,88,177,341220000
1,52,3,156,83,341220000
1,53,14,191,71,341220000
1,54,55,223,66,341220000
1,55,53,232,54,341220000
1,56,14,27,193,341220000
1,57,22,52,193,341220000
1,58,58,40,164,341220000
1,59,35,188,205,341220000
1,60,70,165,196,341220000
1,61,33,186,132,341220000
1,62,19,127,201,341220000
1,63,42,311,114,341220000
1,64,18,143,199,341220000
1,65,21,85,112,341220000
