# model_ID,resid_ID, disk_angle, dist2sk, disk2surf, vol
0,1,2,255,4,157870000
0,2,26,279,39,157870000
0,3,8,139,143,157870000
0,4,53,223,56,157870000
0,5,43,234,151,157870000
0,6,37,271,117,157870000
0,7,40,240,120,157870000
0,8,19,260,86,157870000
0,9,40,240,100,157870000
0,10,34,185,134,157870000
0,11,62,257,55,157870000
0,12,59,147,136,157870000
0,13,5,80,189,157870000
0,14,39,126,169,157870000
0,15,57,59,210,157870000
0,16,21,148,114,157870000
0,17,47,126,173,157870000
0,18,30,204,129,157870000
0,19,23,224,101,157870000
0,20,6,27,246,157870000
0,21,18,64,191,157870000
0,22,44,124,171,157870000
0,23,53,41,202,157870000
0,24,4,267,137,157870000
0,25,26,289,89,157870000
0,26,7,240,115,157870000
1,1,44,142,136,798110000
1,2,34,236,135,798110000
1,3,9,348,79,798110000
1,4,70,198,196,798110000
1,5,64,381,107,798110000
1,6,15,291,110,798110000
1,7,35,334,72,798110000
1,8,13,225,107,798110000
1,9,23,292,111,798110000
1,10,49,29,157,798110000
1,11,36,44,193,798110000
1,12,21,136,140,798110000
1,13,40,173,145,798110000
1,14,11,259,63,798110000
1,15,43,95,158,798110000
1,16,0,308,106,798110000
1,17,57,90,162,798110000
1,18,4,133,160,798110000
1,19,35,194,101,798110000
1,20,49,78,161,798110000
1,21,29,64,149,798110000
1,22,50,352,110,798110000
1,23,21,329,105,798110000
1,24,17,134,137,798110000
1,25,21,290,134,798110000
1,26,18,101,149,798110000
1,27,4,82,195,798110000
1,28,5,63,163,798110000
1,29,3,38,172,798110000
1,30,53,60,183,798110000
1,31,54,12,208,798110000
1,32,25,148,98,798110000
1,33,32,81,125,798110000
1,34,14,178,156,798110000
1,35,11,170,147,798110000
1,36,2,109,128,798110000
1,37,14,33,160,798110000
1,38,12,83,155,798110000
1,39,33,54,187,798110000
1,40,60,226,139,798110000
1,41,7,182,139,798110000
1,42,31,213,164,798110000
1,43,44,264,89,798110000
1,44,34,163,153,798110000
1,45,37,84,203,798110000
1,46,7,166,128,798110000
1,47,49,153,181,798110000
1,48,25,204,119,798110000
1,49,47,262,155,798110000
1,50,67,120,168,798110000
1,51,59,334,97,798110000
1,52,54,198,124,798110000
1,53,20,112,182,798110000
1,54,1,141,209,798110000
1,55,20,140,128,798110000
1,56,33,21,203,798110000
1,57,46,29,226,798110000
1,58,3,142,113,798110000
1,59,69,75,174,798110000
1,60,44,185,96,798110000
1,61,37,46,191,798110000
1,62,30,76,191,798110000
1,63,75,102,166,798110000
1,64,5,55,153,798110000
1,65,0,137,168,798110000
1,66,45,134,212,798110000
1,67,29,92,183,798110000
1,68,19,111,156,798110000
1,69,28,131,129,798110000
1,70,16,148,98,798110000
1,71,19,162,160,798110000
1,72,21,211,128,798110000
1,73,40,87,200,798110000
1,74,60,89,210,798110000
1,75,58,109,172,798110000
1,76,59,40,210,798110000
1,77,36,184,113,798110000
1,78,37,100,133,798110000
1,79,37,189,149,798110000
1,80,4,225,117,798110000
1,81,3,113,217,798110000
1,82,2,81,218,798110000
1,83,25,23,177,798110000
1,84,48,15,203,798110000
1,85,12,92,119,798110000
1,86,5,154,103,798110000
1,87,34,110,133,798110000
1,88,27,172,134,798110000
1,89,38,180,132,798110000
1,90,25,217,139,798110000
1,91,57,178,130,798110000
1,92,6,231,165,798110000
1,93,51,334,131,798110000
1,94,13,256,120,798110000
1,95,44,218,165,798110000
1,96,53,287,153,798110000
1,97,22,160,127,798110000
1,98,58,247,87,798110000
1,99,61,177,158,798110000
1,100,77,194,173,798110000
1,101,10,142,161,798110000
1,102,55,141,205,798110000
1,103,26,170,126,798110000
1,104,60,192,159,798110000
1,105,20,145,142,798110000
1,106,61,111,188,798110000
1,107,6,179,142,798110000
1,108,32,119,170,798110000
1,109,28,59,171,798110000
1,110,75,321,126,798110000
1,111,73,363,97,798110000
1,112,13,365,76,798110000
1,113,53,139,136,798110000
2,1,1,231,113,328320000
2,2,70,206,104,328320000
2,3,55,194,106,328320000
2,4,36,165,151,328320000
2,5,32,292,57,328320000
2,6,53,133,111,328320000
2,7,14,61,127,328320000
2,8,51,70,98,328320000
2,9,24,78,172,328320000
2,10,32,98,198,328320000
2,11,41,200,142,328320000
2,12,21,97,158,328320000
2,13,27,157,186,328320000
2,14,72,67,222,328320000
2,15,23,231,160,328320000
2,16,2,128,184,328320000
2,17,71,384,62,328320000
2,18,23,261,163,328320000
2,19,58,300,7,328320000
2,20,33,81,154,328320000
2,21,26,48,195,328320000
2,22,39,52,203,328320000
2,23,8,19,246,328320000
2,24,21,112,198,328320000
2,25,14,124,101,328320000
2,26,62,96,118,328320000
2,27,65,278,103,328320000
2,28,28,206,147,328320000
2,29,1,160,196,328320000
2,30,67,349,115,328320000
2,31,20,365,95,328320000
2,32,12,330,108,328320000
2,33,38,175,118,328320000
2,34,29,25,125,328320000
2,35,0,109,120,328320000
2,36,13,63,164,328320000
2,37,6,26,185,328320000
2,38,12,55,138,328320000
2,39,23,160,130,328320000
2,40,54,48,171,328320000
2,41,68,15,188,328320000
2,42,15,116,127,328320000
2,43,34,142,155,328320000
2,44,44,357,89,328320000
2,45,42,67,186,328320000
2,46,30,76,131,328320000
2,47,42,8,191,328320000
2,48,13,152,116,328320000
3,1,13,196,114,76933000
3,2,3,52,138,76933000
3,3,3,56,120,76933000
3,4,13,140,114,76933000
3,5,56,165,111,76933000
3,6,45,207,77,76933000
3,7,24,230,70,76933000
3,8,41,143,130,76933000
3,9,6,94,106,76933000
3,10,4,49,154,76933000
3,11,22,42,172,76933000
3,12,64,57,144,76933000
4,1,42,367,25,284590000
4,2,5,185,149,284590000
4,3,82,275,122,284590000
4,4,61,290,102,284590000
4,5,13,164,141,284590000
4,6,37,113,229,284590000
4,7,45,297,117,284590000
4,8,8,291,114,284590000
