# model_ID,resid_ID, disk_angle, dist2sk, disk2surf, vol
0,1,13,261,90,133460000
0,2,50,115,126,133460000
0,3,16,60,185,133460000
0,4,19,220,92,133460000
0,5,32,99,82,133460000
0,6,56,316,58,133460000
0,7,61,278,76,133460000
0,8,0,245,63,133460000
0,9,67,18,198,133460000
0,10,8,84,132,133460000
0,11,52,134,116,133460000
0,12,25,14,151,133460000
0,13,60,98,145,133460000
0,14,41,51,139,133460000
0,15,56,177,96,133460000
0,16,41,113,122,133460000
0,17,4,85,125,133460000
0,18,63,72,162,133460000
0,19,6,29,175,133460000
0,20,57,128,143,133460000
0,21,25,41,120,133460000
1,1,52,136,107,75276000
1,2,27,91,127,75276000
1,3,55,74,112,75276000
1,4,42,106,91,75276000
1,5,1,36,149,75276000
1,6,5,2,166,75276000
1,7,65,70,120,75276000
1,8,66,78,112,75276000
1,9,3,62,137,75276000
1,10,21,98,131,75276000
1,11,13,138,49,75276000
1,12,36,110,87,75276000
2,1,22,211,43,118190000
2,2,12,274,57,118190000
2,3,33,164,118,118190000
2,4,22,173,81,118190000
2,5,68,87,133,118190000
2,6,21,61,146,118190000
2,7,48,92,139,118190000
2,8,6,60,152,118190000
2,9,55,67,137,118190000
2,10,29,128,103,118190000
2,11,87,62,151,118190000
2,12,17,9,187,118190000
2,13,12,195,71,118190000
2,14,14,202,98,118190000
2,15,5,258,62,118190000
2,16,63,180,98,118190000
2,17,42,109,128,118190000
2,18,42,106,129,118190000
2,19,31,124,119,118190000
2,20,50,120,106,118190000
2,21,47,64,158,118190000
3,1,31,153,97,132140000
3,2,16,95,139,132140000
3,3,7,234,63,132140000
3,4,70,242,77,132140000
3,5,42,221,84,132140000
3,6,3,234,76,132140000
3,7,46,97,141,132140000
3,8,19,150,108,132140000
3,9,6,77,148,132140000
3,10,7,12,210,132140000
3,11,51,143,114,132140000
3,12,58,50,177,132140000
3,13,55,206,105,132140000
3,14,62,70,148,132140000
3,15,37,144,81,132140000
3,16,30,92,128,132140000
3,17,18,81,146,132140000
3,18,70,56,115,132140000
3,19,16,41,147,132140000
3,20,28,129,146,132140000
3,21,7,144,100,132140000
3,22,24,143,136,132140000
4,1,72,235,127,111440000
4,2,39,181,110,111440000
4,3,10,227,70,111440000
4,4,43,126,167,111440000
4,5,2,83,147,111440000
4,6,24,182,113,111440000
4,7,32,65,166,111440000
4,8,31,287,60,111440000
4,9,69,23,177,111440000
4,10,16,117,111,111440000
4,11,19,101,161,111440000
4,12,32,154,101,111440000
4,13,22,77,116,111440000
4,14,3,24,154,111440000
4,15,39,149,62,111440000
5,1,73,332,17,65047000
5,2,31,177,69,65047000
5,3,28,202,48,65047000
5,4,31,166,106,65047000
5,5,44,228,11,65047000
5,6,39,179,113,65047000
5,7,40,104,138,65047000
5,8,46,180,85,65047000
5,9,26,96,119,65047000
5,10,38,75,140,65047000
5,11,30,47,173,65047000
5,12,33,268,61,65047000
5,13,72,105,130,65047000
5,14,78,120,100,65047000
5,15,24,61,147,65047000
6,1,17,221,63,69856000
6,2,3,385,11,69856000
6,3,29,74,133,69856000
6,4,47,74,142,69856000
6,5,5,142,85,69856000
6,6,30,143,82,69856000
6,7,34,144,66,69856000
6,8,29,165,112,69856000
6,9,39,117,142,69856000
6,10,4,124,180,69856000
6,11,49,209,113,69856000
6,12,18,265,69,69856000
6,13,54,321,20,69856000
6,14,32,160,93,69856000
6,15,32,126,105,69856000
7,1,46,166,109,106370000
7,2,58,237,40,106370000
7,3,23,148,127,106370000
7,4,15,122,126,106370000
7,5,28,58,175,106370000
7,6,41,173,129,106370000
7,7,64,182,96,106370000
7,8,20,122,111,106370000
7,9,36,86,134,106370000
7,10,1,78,160,106370000
7,11,21,84,158,106370000
7,12,78,155,104,106370000
7,13,31,126,109,106370000
7,14,15,175,103,106370000
7,15,5,85,124,106370000
7,16,5,78,127,106370000
8,1,70,206,10,66180000
8,2,3,87,143,66180000
8,3,18,81,125,66180000
8,4,25,230,79,66180000
8,5,12,130,59,66180000
8,6,0,163,117,66180000
8,7,28,191,89,66180000
8,8,34,41,156,66180000
8,9,3,52,122,66180000
8,10,10,30,161,66180000
8,11,41,144,76,66180000
8,12,12,96,141,66180000
8,13,43,21,171,66180000
