Unnamed: 0,selgroup,volseg,pixelRato2initalMask,sradius,numsel_allcluster,numsel_noisecluster,numsel_Currentcluster,shelldistance,vol_density_numsel_allcluster,vol_density_numsel_noisecluster,shell_density_numsel_allcluster,shell_density_numsel_noisecluster,sub_group_type,idd,vol_density_numsel_Currentcluster,shell_density_numsel_Currentcluster
879,22.0,714520000.0,1.662,270.0,27.0,1.0,26.0,383.7,62.77010907864082,2.3248188547644744,11.278717871444274,11.278717871444274,SP2,1,60.44529022387634,0.0
880,22.0,885400000.0,1.7852,290.0,28.0,1.0,26.0,413.27,52.53176858705302,1.8761345923947508,9.721029775903043,0.0,SP2,1,48.779499402263525,0.0
881,22.0,1081500000.0,1.9083,310.0,28.0,1.0,26.0,442.86,43.00659076003397,1.5359496700012134,0.0,0.0,SP2,1,39.93469142003155,0.0
882,22.0,1304600000.0,2.0314,330.0,29.0,1.0,26.0,472.44,36.92530850458611,1.2732865001581422,7.4456726495128285,0.0,SP2,1,33.1054490041117,0.0
883,22.0,1556400000.0,2.1545,350.0,37.0,2.0,26.0,502.03,39.489716024115616,2.1345792445467904,52.77615784293288,6.59701973036661,SP2,1,27.74953017910828,0.0
884,23.0,31897.0,0.08603200000000001,10.0,0.0,0.0,0.0,0.00054592,0.0,0.0,0.0,0.0,SP2,1,0.0,0.0
885,23.0,861040.0,0.25808000000000003,30.0,0.0,0.0,0.0,14.161,0.0,0.0,0.0,0.0,SP2,1,0.0,0.0
886,23.0,3986100.0,0.43013,50.0,0.0,0.0,0.0,33.1,0.0,0.0,0.0,0.0,SP2,1,0.0,0.0
887,23.0,10938000.0,0.60217,70.0,1.0,0.0,1.0,52.878,151.86776084351,0.0,238.94612524724354,0.0,SP2,1,151.86776084351,238.94612524724354
888,23.0,23246000.0,0.77422,90.0,4.0,0.0,4.0,72.916,285.83490804548086,0.0,404.8902099706643,0.0,SP2,1,285.83490804548086,404.8902099706643
889,23.0,42443000.0,0.94627,110.0,8.0,0.0,8.0,93.01,313.10313938342006,0.0,346.1227417005391,0.0,SP2,1,313.10313938342006,346.1227417005391
890,23.0,70057000.0,1.1183,130.0,10.0,1.0,9.0,113.22,237.11114779484024,23.711114779484024,120.31068067692564,60.15534033846282,SP2,1,213.40003301535626,60.15534033846282
891,23.0,107620000.0,1.2904,150.0,10.0,1.0,9.0,133.49,154.3513815374756,15.43513815374756,0.0,0.0,SP2,1,138.91624338372802,0.0
892,23.0,156660000.0,1.4624,170.0,11.0,1.0,10.0,153.8,116.63746488682139,10.603405898801944,33.87295204131958,0.0,SP2,1,106.03405898801942,33.87295204131958
893,23.0,218720000.0,1.6345,190.0,11.0,1.0,10.0,174.15,83.54254411653912,7.594776737867192,0.0,0.0,SP2,1,75.94776737867194,0.0
894,23.0,295310000.0,1.8065,210.0,11.0,1.0,10.0,194.5,61.87540296356181,5.6250366330510735,0.0,0.0,SP2,1,56.25036633051073,0.0
895,23.0,387980000.0,1.9785,230.0,11.0,1.0,10.0,214.87,47.09630715286725,4.281482468442477,0.0,0.0,SP2,1,42.81482468442477,0.0
896,23.0,498240000.0,2.1506,250.0,12.0,1.0,10.0,235.24,40.00793757481485,3.3339947979012368,15.065568366645314,0.0,SP2,1,33.33994797901237,0.0
897,23.0,627650000.0,2.3226,270.0,14.0,1.0,10.0,255.6,37.05220099336951,2.646585785240679,25.672352493722467,0.0,SP2,1,26.46585785240679,0.0
898,23.0,777700000.0,2.4947,290.0,14.0,1.0,10.0,275.97,29.90332255816943,2.1359516112978167,0.0,0.0,SP2,1,21.359516112978174,0.0
899,23.0,949960000.0,2.6667,310.0,13.0,1.0,9.0,296.34,22.73220386688077,1.7486310666831366,-9.643153187660005,0.0,SP2,1,15.737679600148224,-9.643153187660005
900,24.0,41397.0,0.073086,10.0,0.0,0.0,0.0,0.001196,0.0,0.0,0.0,0.0,SP2,1,0.0,0.0
901,24.0,1117500.0,0.21924,30.0,0.0,0.0,0.0,15.795,0.0,0.0,0.0,0.0,SP2,1,0.0,0.0
902,24.0,5173300.0,0.3654,50.0,1.0,0.0,1.0,39.928,321.0967019322893,0.0,409.5689057907965,0.0,SP2,1,321.0967019322893,409.5689057907965
903,24.0,14195000.0,0.51156,70.0,2.0,0.0,2.0,64.676,234.0443209730627,0.0,184.12600375830638,0.0,SP2,1,234.0443209730627,184.12600375830638
904,24.0,30170000.0,0.65771,90.0,8.0,0.0,8.0,89.462,440.47187752238966,0.0,623.8984293357041,0.0,SP2,1,440.47187752238966,623.8984293357041
905,24.0,55084000.0,0.80387,110.0,11.0,0.0,11.0,114.52,331.71928779989537,0.0,200.0236294580933,0.0,SP2,1,331.71928779989537,200.0236294580933
906,24.0,90923000.0,0.95003,130.0,14.0,0.0,14.0,139.5,255.77481994092116,0.0,139.04932348332645,0.0,SP2,1,255.77481994092116,139.04932348332645
907,24.0,139670000.0,1.0962,150.0,16.0,1.0,15.0,164.54,190.29192446266913,11.89324527891682,68.15309939509352,34.07654969754677,SP2,1,178.39867918375234,34.07654969754677
908,24.0,203320000.0,1.2423,170.0,16.0,1.0,15.0,189.61,130.72040669732928,8.170025418583082,0.0,0.0,SP2,1,122.55038127874624,0.0
909,24.0,283860000.0,1.3885,190.0,15.0,0.0,15.0,214.72,87.7789879574251,0.0,-20.62490151609526,-20.62490151609526,SP2,1,87.7789879574251,0.0
910,24.0,383270000.0,1.5347,210.0,16.0,0.0,16.0,239.86,69.34556080491821,0.0,16.709883996643313,0.0,SP2,1,69.34556080491821,16.709883996643313
911,24.0,503530000.0,1.6808,230.0,18.0,0.0,16.0,264.86,59.3814315451187,0.0,27.625637254387364,0.0,SP2,1,52.78349470677218,0.0
912,24.0,646630000.0,1.827,250.0,18.0,0.0,16.0,289.88,46.240249023264646,0.0,0.0,0.0,SP2,1,41.10244357623525,0.0
913,24.0,814580000.0,1.9731,270.0,20.0,1.0,16.0,314.92,40.784933784436454,2.0392466892218226,19.781239274859328,9.890619637429667,SP2,1,32.62794702754916,0.0
914,24.0,1009300000.0,2.1193,290.0,20.0,1.0,16.0,339.97,32.91646820779376,1.6458234103896885,0.0,0.0,SP2,1,26.333174566235012,0.0
915,24.0,1232900000.0,2.2654,310.0,24.0,2.0,16.0,365.03,32.336044800512205,2.694670400042684,29.71609245270684,7.42902311317671,SP2,1,21.557363200341467,0.0
916,24.0,1487200000.0,2.4116,330.0,25.0,2.0,16.0,390.1,27.923775687639733,2.2339020550111788,6.532165033843148,0.0,SP2,1,17.87121644008943,0.0
917,25.0,31978.0,0.0795,10.0,0.0,0.0,0.0,0.0013607,0.0,0.0,0.0,0.0,SP2,1,0.0,0.0
918,25.0,863220.0,0.23848000000000005,30.0,1.0,0.0,1.0,29.607,1924.3409190082627,0.0,1998.37059256668,0.0,SP2,1,1924.3409190082627,1998.37059256668
919,25.0,3996300.0,0.39747,50.0,2.0,0.0,2.0,59.21100000000001,831.3337677883604,0.0,530.190600976136,0.0,SP2,1,831.3337677883604,530.190600976136
920,25.0,10965000.0,0.55645,70.0,5.0,0.0,5.0,88.81700000000002,757.469023304292,0.0,715.11023638827,0.0,SP2,1,757.469023304292,715.11023638827
921,25.0,23305000.0,0.71543,90.0,8.0,0.0,8.0,118.42,570.2225507337695,0.0,403.84025156555396,0.0,SP2,1,570.2225507337695,403.84025156555396
922,25.0,42550000.0,0.8744200000000001,110.0,11.0,0.0,11.0,148.03,429.43420092055084,0.0,258.944593625302,0.0,SP2,1,429.43420092055084,258.944593625302
923,25.0,70234000.0,1.0334,130.0,11.0,0.0,11.0,177.63,260.16495214809686,0.0,0.0,0.0,SP2,1,260.16495214809686,0.0
924,25.0,107890000.0,1.1924,150.0,11.0,0.0,11.0,207.24,169.36162062442702,0.0,0.0,0.0,SP2,1,169.36162062442702,0.0
925,25.0,157060000.0,1.3514,170.0,11.0,0.0,11.0,236.84,116.34041289424064,0.0,0.0,0.0,SP2,1,116.34041289424064,0.0
926,25.0,219270000.0,1.5103,190.0,11.0,0.0,11.0,266.45,83.33299242563704,0.0,0.0,0.0,SP2,1,83.33299242563704,0.0
927,25.0,296060000.0,1.6693,210.0,12.0,0.0,12.0,296.05,67.32944273888991,0.0,21.632107932104603,0.0,SP2,1,67.32944273888991,21.632107932104603
928,25.0,388960000.0,1.8283,230.0,12.0,0.0,12.0,325.66,51.24834126202115,0.0,0.0,0.0,SP2,1,51.24834126202115,0.0
929,25.0,499490000.0,1.9873,250.0,12.0,0.0,12.0,355.26,39.907815606470095,0.0,0.0,0.0,SP2,1,39.907815606470095,0.0
930,25.0,629230000.0,2.1463,270.0,12.0,0.0,12.0,384.87,31.67928232486649,0.0,0.0,0.0,SP2,1,31.67928232486649,0.0
931,25.0,779670000.0,2.3053,290.0,13.0,1.0,12.0,414.47,27.69721085251717,2.130554680962859,11.041807817776604,11.041807817776604,SP2,1,25.566656171554307,0.0
932,25.0,952370000.0,2.4642,310.0,14.0,2.0,12.0,444.08,24.418885468345675,3.488412209763668,9.618584644506731,9.618584644506731,SP2,1,20.930473258582012,0.0
933,26.0,34538.0,0.076382,10.0,0.0,0.0,0.0,0.00048828,0.0,0.0,0.0,0.0,SP2,1,0.0,0.0
934,26.0,932350.0,0.22913000000000006,30.0,2.0,0.0,2.0,24.152,3563.317569810291,0.0,3700.3951119083113,0.0,SP2,1,3563.317569810291,3700.3951119083113
935,26.0,4316200.0,0.38188,50.0,3.0,0.0,3.0,48.3,1154.5778009172273,0.0,490.8992916666851,0.0,SP2,1,1154.5778009172273,490.8992916666851
936,26.0,11843000.0,0.53463,70.0,4.0,0.0,4.0,72.447,561.0502636515452,0.0,220.69532445478984,0.0,SP2,1,561.0502636515452,220.69532445478984
937,26.0,25172000.0,0.68737,90.0,6.0,0.0,6.0,96.596,395.9469811154407,0.0,249.2504416094699,0.0,SP2,1,395.9469811154407,249.2504416094699
938,26.0,45958000.0,0.8401200000000001,110.0,10.0,0.0,10.0,120.74,361.44513862794565,0.0,319.6631517572044,0.0,SP2,1,361.44513862794565,319.6631517572044
939,26.0,75860000.0,0.99287,130.0,10.0,0.0,10.0,144.89,218.9730514245073,0.0,0.0,0.0,SP2,1,218.9730514245073,0.0
940,26.0,116530000.0,1.1456,150.0,10.0,0.0,10.0,169.04,142.54952099084463,0.0,0.0,0.0,SP2,1,142.54952099084463,0.0
941,26.0,169640000.0,1.2984,170.0,11.0,0.0,11.0,193.19,107.71295242377644,0.0,31.27715247799496,0.0,SP2,1,107.71295242377644,31.27715247799496
942,26.0,236830000.0,1.4511,190.0,11.0,0.0,11.0,217.34,77.15418337697689,0.0,0.0,0.0,SP2,1,77.15418337697689,0.0
943,26.0,319770000.0,1.6039,210.0,11.0,0.0,11.0,241.49,57.14240000365711,0.0,0.0,0.0,SP2,1,57.14240000365711,0.0
944,26.0,420110000.0,1.7566,230.0,11.0,0.0,11.0,265.64,43.494383016756174,0.0,0.0,0.0,SP2,1,43.494383016756174,0.0
945,26.0,539510000.0,1.9094,250.0,12.0,0.0,12.0,289.79,36.94751685284008,0.0,13.912307940588882,0.0,SP2,1,36.94751685284008,13.912307940588882
946,26.0,679620000.0,2.0621,270.0,12.0,0.0,12.0,313.93,29.330441742850052,0.0,0.0,0.0,SP2,1,29.330441742850052,0.0
947,26.0,842120000.0,2.2149,290.0,12.0,0.0,12.0,338.08,23.670682108578053,0.0,0.0,0.0,SP2,1,23.670682108578053,0.0
948,26.0,1028600000.0,2.3676,310.0,13.0,1.0,12.0,362.23,20.994248867764014,1.6149422205972317,8.907816216786317,8.907816216786317,SP2,1,19.379306647166782,0.0
