Unnamed: 0,selgroup,volseg,pixelRato2initalMask,sradius,numsel_allcluster,numsel_noisecluster,numsel_Currentcluster,shelldistance,vol_density_numsel_allcluster,vol_density_numsel_noisecluster,shell_density_numsel_allcluster,shell_density_numsel_noisecluster,sub_group_type,idd,vol_density_numsel_Currentcluster,shell_density_numsel_Currentcluster,uniq
256,5.0,163150000.0,1.3863,4.0,12.0,0.0,12.0,268.61,122.17931239519308,0.0,65.04031198536853,0.0,LS,3,122.17931239519308,65.04031198536853,SP1-3-5
257,5.0,227770000.0,1.5494,6.0,12.0,0.0,12.0,302.46,87.51615584702002,0.0,0.0,0.0,LS,3,87.51615584702002,0.0,SP1-3-5
258,5.0,307530000.0,1.7125,8.0,12.0,0.0,12.0,336.27,64.81824478026775,0.0,0.0,0.0,LS,3,64.81824478026775,0.0,SP1-3-5
259,5.0,404030000.0,1.8756,10.0,14.0,0.0,14.0,370.07,57.55962169514238,0.0,34.427555815674864,0.0,LS,3,57.55962169514238,34.427555815674864,SP1-3-5
260,5.0,518860000.0,2.0387,12.0,14.0,0.0,14.0,403.88,44.82098052169828,0.0,0.0,0.0,LS,3,44.82098052169828,0.0,SP1-3-5
261,5.0,653610000.0,2.2017,14.0,14.0,0.0,14.0,437.7,35.58056632164191,0.0,0.0,0.0,LS,3,35.58056632164191,0.0,SP1-3-5
262,5.0,809880000.0,2.3648,16.0,15.0,0.0,15.0,471.53,30.76621662665417,0.0,10.629868612697974,0.0,LS,3,30.76621662665417,10.629868612697974,SP1-3-5
263,5.0,989270000.0,2.5279,18.0,15.0,0.0,15.0,505.34,25.18720220121371,0.0,0.0,0.0,LS,3,25.18720220121371,0.0,SP1-3-5
271,6.0,116390000.0,1.2097,2.0,10.0,0.0,10.0,211.98,142.72098703551097,0.0,40.88934321492461,0.0,LS,3,142.72098703551097,40.88934321492461,SP1-3-6
272,6.0,169430000.0,1.371,4.0,10.0,0.0,10.0,242.77,98.04223384915969,0.0,0.0,0.0,LS,3,98.04223384915969,0.0,SP1-3-6
273,6.0,236540000.0,1.5323,6.0,10.0,0.0,10.0,273.55,70.22615913191478,0.0,0.0,0.0,LS,3,70.22615913191478,0.0,SP1-3-6
274,6.0,319370000.0,1.6936,8.0,11.0,0.0,11.0,304.34,57.213968904936074,0.0,20.0546851153726,0.0,LS,3,57.213968904936074,20.0546851153726,SP1-3-6
275,6.0,419600000.0,1.8549,10.0,12.0,0.0,12.0,335.12,47.506088697034684,0.0,16.573177373104986,0.0,LS,3,47.506088697034684,16.573177373104986,SP1-3-6
276,6.0,538840000.0,2.0162,12.0,13.0,0.0,13.0,365.91,40.076245982818754,0.0,13.93097591501436,0.0,LS,3,40.076245982818754,13.93097591501436,SP1-3-6
277,6.0,678780000.0,2.1775,14.0,14.0,1.0,13.0,396.7,34.2611950167777,2.447228215484122,11.870298471532884,11.870298471532884,LS,3,31.81396680129359,0.0,SP1-3-6
278,6.0,841080000.0,2.3388,16.0,14.0,1.0,13.0,427.49,27.64994287521801,1.97499591965843,0.0,0.0,LS,3,25.674946955559587,0.0,SP1-3-6
279,6.0,1027400000.0,2.5001,18.0,16.0,2.0,14.0,458.3,25.86925548929433,3.2336569361617915,17.830931388002497,8.915465694001249,LS,3,22.635598553132553,8.915465694001249,SP1-3-6
287,7.0,141590000.0,1.1259,2.0,12.0,0.0,12.0,191.05,140.78363455947274,0.0,67.22771330714771,0.0,LS,3,140.78363455947274,67.22771330714771,SP1-3-7
288,7.0,206110000.0,1.276,4.0,14.0,1.0,13.0,219.04,112.8320506209712,8.059432187212229,51.491927095669936,25.745963547834968,LS,3,104.77261843375895,25.745963547834968,SP1-3-7
289,7.0,287750000.0,1.4262,6.0,16.0,2.0,14.0,247.0,92.36515409105472,11.54564426138184,40.694011957528474,20.347005978764237,LS,3,80.81950982967287,20.347005978764237,SP1-3-7
290,7.0,388520000.0,1.5763,8.0,18.0,3.0,15.0,274.96,76.95957023039642,12.826595038399406,32.96873212476555,16.484366062382776,LS,3,64.13297519199703,16.484366062382776,SP1-3-7
291,7.0,510440000.0,1.7264,10.0,18.0,3.0,15.0,302.93,58.57756489678243,9.762927482797071,0.0,0.0,LS,3,48.81463741398536,0.0,SP1-3-7
292,7.0,655510000.0,1.8765,12.0,19.0,4.0,15.0,330.91,48.14794861103557,10.136410233902227,11.45053814094101,11.45053814094101,LS,3,38.01153837713336,0.0,SP1-3-7
293,7.0,825760000.0,2.0266,14.0,19.0,4.0,15.0,358.89,38.221107578497296,8.04654896389417,0.0,0.0,LS,3,30.174558614603143,0.0,SP1-3-7
294,7.0,1023200000.0,2.1768,16.0,20.0,4.0,16.0,386.87,32.46930352045176,6.493860704090352,8.413338574282376,0.0,LS,3,25.975442816361408,8.413338574282376,SP1-3-7
295,7.0,1249800000.0,2.3269,18.0,20.0,4.0,16.0,414.86,26.5823262619029,5.31646525238058,0.0,0.0,LS,3,21.26586100952232,0.0,SP1-3-7
303,8.0,79834000.0,1.1014,2.0,10.0,0.0,10.0,155.04,208.0729473791007,0.0,105.57579560863813,0.0,LS,3,208.0729473791007,105.57579560863813,SP1-3-8
304,8.0,122640000.0,1.2708,4.0,10.0,0.0,10.0,180.88,135.4476164470248,0.0,0.0,0.0,LS,3,135.4476164470248,0.0,SP1-3-8
305,8.0,178530000.0,1.4403,6.0,11.0,0.0,11.0,206.72,102.3493264390827,0.0,29.721409341676733,0.0,LS,3,102.3493264390827,29.721409341676733,SP1-3-8
306,8.0,249240000.0,1.6097,8.0,11.0,0.0,11.0,232.56,73.31257121316577,0.0,0.0,0.0,LS,3,73.31257121316577,0.0,SP1-3-8
307,8.0,336520000.0,1.7791,10.0,11.0,0.0,11.0,258.4,54.298185097971704,0.0,0.0,0.0,LS,3,54.298185097971704,0.0,SP1-3-8
308,8.0,442120000.0,1.9486,12.0,12.0,0.0,12.0,284.24,45.08629968622941,0.0,15.730393637370383,0.0,LS,3,45.08629968622941,15.730393637370383,SP1-3-8
309,8.0,567780000.0,2.1180000000000003,14.0,13.0,0.0,13.0,310.08,38.03354183906101,0.0,13.219238963125198,0.0,LS,3,38.03354183906101,13.219238963125198,SP1-3-8
310,8.0,715230000.0,2.2875,16.0,13.0,0.0,13.0,335.92,30.19264346487432,0.0,0.0,0.0,LS,3,30.19264346487432,0.0,SP1-3-8
311,8.0,886240000.0,2.4569,18.0,13.0,0.0,13.0,361.76,24.366632498400048,0.0,0.0,0.0,LS,3,24.366632498400048,0.0,SP1-3-8
322,0.0,262640000.0,1.1139,2.0,26.0,0.0,25.0,148.23,164.4432255968783,0.0,22.291057006257553,0.0,LS,4,158.11848615084455,0.0,SP1-4-0
323,0.0,354610000.0,1.2311,4.0,27.0,0.0,26.0,166.06,126.4783800199386,0.0,18.061645842191066,0.0,LS,4,121.79399557475573,18.061645842191066,SP1-4-0
324,0.0,465880000.0,1.3484,6.0,27.0,0.0,26.0,183.91,96.27049527532934,0.0,0.0,0.0,LS,4,92.70492137624306,0.0,SP1-4-0
325,0.0,598300000.0,1.4656,8.0,30.0,0.0,29.0,201.78,83.29247374760048,0.0,37.633202721031104,0.0,LS,4,80.5160579560138,37.633202721031104,SP1-4-0
326,0.0,753680000.0,1.5829,10.0,31.0,0.0,31.0,219.66,68.32477525116187,0.0,10.690755361734537,0.0,LS,4,68.32477525116187,21.38151072346907,SP1-4-0
327,0.0,933880000.0,1.7001,12.0,33.0,1.0,32.0,237.52,58.69841494357768,1.7787398467750806,18.43651018985918,9.21825509492959,LS,4,56.91967509680258,9.21825509492959,SP1-4-0
328,0.0,1140700000.0,1.8174,14.0,35.0,2.0,33.0,255.39,50.96829568135437,2.912474038934536,16.06352933088011,8.031764665440056,LS,4,48.05582164241984,8.031764665440056,SP1-4-0
329,0.0,1376100000.0,1.9346,16.0,37.0,4.0,33.0,273.26,44.66375555550727,4.828514114108893,14.113250366238846,14.113250366238846,LS,4,39.83524144139838,0.0,SP1-4-0
330,0.0,1641700000.0,2.0519,18.0,41.0,7.0,34.0,291.14,41.4852362138995,7.0828452072511325,25.01701156786615,18.76275867589961,LS,4,34.402391006648365,6.254252891966537,SP1-4-0
339,1.0,176170000.0,1.082,2.0,24.0,0.0,24.0,118.7,226.2990840355991,0.0,150.60104878570377,0.0,LS,4,226.2990840355991,150.60104878570377,SP1-4-1
340,1.0,245960000.0,1.2093,4.0,25.0,0.0,25.0,134.76,168.84143439037982,0.0,23.80182788517427,0.0,LS,4,168.84143439037982,23.80182788517427,SP1-4-1
341,1.0,332090000.0,1.3365,6.0,26.0,0.0,26.0,150.86,130.0532047660698,0.0,19.286306375320013,0.0,LS,4,130.0532047660698,19.286306375320013,SP1-4-1
342,1.0,436280000.0,1.4638,8.0,26.0,0.0,26.0,166.97,98.99461073339168,0.0,0.0,0.0,LS,4,98.99461073339168,0.0,SP1-4-1
343,1.0,560290000.0,1.5911,10.0,26.0,0.0,26.0,183.1,77.08395432858721,0.0,0.0,0.0,LS,4,77.08395432858721,0.0,SP1-4-1
344,1.0,705790000.0,1.7184,12.0,26.0,0.0,26.0,199.13,61.19294516890878,0.0,0.0,0.0,LS,4,61.19294516890878,0.0,SP1-4-1
345,1.0,874570000.0,1.8457,14.0,27.0,0.0,27.0,215.13,51.28291427658213,0.0,9.841981088436498,0.0,LS,4,51.28291427658213,9.841981088436498,SP1-4-1
346,1.0,1068200000.0,1.973,16.0,26.0,0.0,26.0,231.13,40.431912348590274,0.0,-8.57888533856485,0.0,LS,4,40.431912348590274,-8.57888533856485,SP1-4-1
347,1.0,1288700000.0,2.1003,18.0,26.0,0.0,26.0,247.15,33.51390453229155,0.0,0.0,0.0,LS,4,33.51390453229155,0.0,SP1-4-1
