Distance,sub_group_type,idd,x
37.202536774668964,SP1,1,0.0
24.756650794885008,SP1,1,0.0
54.38679941509047,SP1,1,0.0
37.202536774668964,SP1,1,0.0
24.756650794885008,SP1,1,0.0
49.54855401980194,SP1,1,0.0
54.38679941509047,SP1,1,0.0
60.08788347349669,SP1,1,0.0
50.655593107252926,SP1,1,0.0
56.059241895375294,SP1,1,0.0
40.04939952813768,SP1,1,0.0
84.40148932398563,SP1,1,0.0
59.841570426371845,SP1,1,0.0
49.54855401980194,SP1,1,0.0
56.059241895375294,SP1,1,0.0
22.287420587507306,SP1,1,0.0
30.472728787715862,SP1,1,0.0
22.287420587507306,SP1,1,0.0
66.41055407253285,SP1,1,0.0
45.80440246500114,SP1,1,0.0
30.472728787715862,SP1,1,0.0
40.60574505647983,SP1,1,0.0
84.50329486498262,SP1,1,0.0
45.10084098177712,SP1,1,0.0
45.10084098177712,SP1,1,0.0
64.24098112615827,SP1,1,0.0
40.60574505647983,SP1,1,0.0
47.78896899779461,SP1,1,0.0
45.165122392002,SP1,1,0.0
47.78896899779461,SP1,1,0.0
62.013669718383944,SP1,1,0.0
21.687465783239258,SP1,1,0.0
45.165122392002,SP1,1,0.0
69.59802731363625,SP1,1,0.0
21.687465783239258,SP1,1,0.0
75.5129956334834,SP1,1,0.0
55.803331513450004,SP1,1,0.0
74.28206401327107,SP1,1,0.0
55.803331513450004,SP1,1,0.0
50.933963680526084,SP1,1,0.0
33.14472554448183,SP1,1,0.0
28.268856666429013,SP1,1,0.0
70.1141886412243,SP1,1,0.0
33.14472554448183,SP1,1,0.0
28.268856666429013,SP1,1,0.0
39.791485838759485,SP1,1,0.0
26.45175479161173,SP1,1,0.0
26.45175479161173,SP1,1,0.0
42.85328238755166,SP1,1,0.0
49.03921164830835,SP1,1,0.0
33.78175632709482,SP1,1,0.0
33.99522930933558,SP1,1,0.0
40.71969748717708,SP1,1,0.0
36.843909095974354,SP1,1,0.0
43.2080216084813,SP1,1,0.0
26.496204720867546,SP1,1,0.0
24.026747002450875,SP1,1,0.0
43.2080216084813,SP1,1,0.0
54.02600600009652,SP1,1,0.0
24.026747002450875,SP1,1,0.0
56.57884179588081,SP1,1,0.0
37.87140612949109,SP1,1,0.0
40.27877254932178,SP1,1,0.0
37.04201560390579,SP1,1,0.0
53.12722809666907,SP1,1,0.0
37.04201560390579,SP1,1,0.0
22.658510883318097,SP1,1,0.0
22.658510883318097,SP1,1,0.0
37.06074568259688,SP1,1,0.0
55.19293000008661,SP1,1,0.0
53.12722809666907,SP1,1,0.0
61.05313811680973,SP1,1,0.0
83.99402148014782,SP1,2,0.0
61.94311512785158,SP1,2,0.0
61.94311512785158,SP1,2,0.0
61.490769925900246,SP1,2,0.0
69.51793991353946,SP1,2,0.0
28.023793698001345,SP1,2,0.0
41.88574975642406,SP1,2,0.0
41.88574975642406,SP1,2,0.0
28.023793698001345,SP1,2,0.0
52.2394245634085,SP1,2,0.0
63.404967676065134,SP1,2,0.0
45.2001781635273,SP1,2,0.0
52.2394245634085,SP1,2,0.0
48.39268075052488,SP1,2,0.0
32.80945212559259,SP1,2,0.0
43.848017236502365,SP1,2,0.0
38.511731430830025,SP1,2,0.0
31.52122255789691,SP1,2,0.0
31.91724552376514,SP1,2,0.0
31.91724552376514,SP1,2,0.0
31.30313680927138,SP1,2,0.0
33.5856968218357,SP1,2,0.0
32.843998913601844,SP1,2,0.0
31.30313680927138,SP1,2,0.0
19.329876713771537,SP1,2,0.0
43.848017236502365,SP1,2,0.0
19.329876713771537,SP1,2,0.0
33.5856968218357,SP1,2,0.0
32.205861995636276,SP1,2,0.0
59.42490422463775,SP1,2,0.0
31.918342762343475,SP1,2,0.0
31.918342762343475,SP1,2,0.0
40.61403797545388,SP1,2,0.0
25.65313715754614,SP1,2,0.0
51.10163146601965,SP1,2,0.0
44.26095891893934,SP1,2,0.0
40.61403797545388,SP1,2,0.0
25.65313715754614,SP1,2,0.0
47.89765015083058,SP1,2,0.0
55.174711801128716,SP1,2,0.0
44.26095891893934,SP1,2,0.0
39.33776023283734,SP1,2,0.0
28.72730033867434,SP1,2,0.0
60.155659974827024,SP1,2,0.0
28.72730033867434,SP1,2,0.0
48.67469851766032,SP1,2,0.0
90.52801008448289,SP1,2,0.0
48.67469851766032,SP1,2,0.0
