gr,r,sub_group_type,idd
0.0,8.0,LS,1
0.0,24.0,LS,1
0.08232118758434548,40.0,LS,1
0.25363825363825365,56.0,LS,1
1.0,72.0,LS,1
0.705898939087191,88.0,LS,1
0.5049464970724813,104.0,LS,1
0.40722196935214694,120.0,LS,1
0.3986695446983019,136.0,LS,1
0.27455469750451417,152.0,LS,1
0.27899623401020096,168.0,LS,1
0.29184224964827793,184.0,LS,1
0.25693973534130093,200.0,LS,1
0.3135536993320083,216.0,LS,1
0.2720036835546998,232.0,LS,1
0.21595282542724922,248.0,LS,1
0.1788195825351612,264.0,LS,1
0.16917643248010136,280.0,LS,1
0.1357702151311574,296.0,LS,1
0.14745570455967222,312.0,LS,1
0.12351356279883761,328.0,LS,1
0.12794358925650767,344.0,LS,1
0.11376682434046706,360.0,LS,1
0.11300820444746595,376.0,LS,1
0.11675561940818809,392.0,LS,1
0.09871200805772058,408.0,LS,1
0.10497259567755637,424.0,LS,1
0.10078654756651194,440.0,LS,1
0.104365801835601,456.0,LS,1
0.09679236520305771,472.0,LS,1
0.11525934963251817,488.0,LS,1
0.10798721088196969,504.0,LS,1
0.1057922374351498,520.0,LS,1
0.09929159697208857,536.0,LS,1
0.09124574241073409,552.0,LS,1
0.1056401136495869,568.0,LS,1
0.10533599436087916,584.0,LS,1
0.10657213862335094,600.0,LS,1
0.10302728459207977,616.0,LS,1
0.0974665776893859,632.0,LS,1
0.10165995091850787,648.0,LS,1
0.09286869290466704,664.0,LS,1
0.08464465581070567,680.0,LS,1
0.10575035610957836,696.0,LS,1
0.09919650260565799,712.0,LS,1
0.09019939027383585,728.0,LS,1
0.09559400448900349,744.0,LS,1
0.08483768613270153,760.0,LS,1
0.08959176940413578,776.0,LS,1
0.09157125245091978,792.0,LS,1
0.0916190213791752,808.0,LS,1
0.08387563458092868,824.0,LS,1
0.1049502888152963,840.0,LS,1
0.08791719700025308,856.0,LS,1
0.0905312697849017,872.0,LS,1
0.09270523022254093,888.0,LS,1
0.10363685603546925,904.0,LS,1
0.10250233524578503,920.0,LS,1
0.09024859048222583,936.0,LS,1
0.09228115464268105,952.0,LS,1
0.08726530417045333,968.0,LS,1
0.0945871454933684,984.0,LS,1
0.09061642177182126,1000.0,LS,1
0.09191048505953446,1016.0,LS,1
0.0958432722846277,1032.0,LS,1
0.09379386186633175,1048.0,LS,1
0.10335401983280561,1064.0,LS,1
0.08390434958544819,1080.0,LS,1
0.09585218047536058,1096.0,LS,1
0.09005326804851434,1112.0,LS,1
0.09286074329891272,1128.0,LS,1
0.09934883485484622,1144.0,LS,1
0.09135837756485062,1160.0,LS,1
0.09429471206965384,1176.0,LS,1
0.09199825670954107,1192.0,LS,1
0.10069689063663062,1208.0,LS,1
0.09185179360586336,1224.0,LS,1
0.09388704213646384,1240.0,LS,1
0.08902254975136842,1256.0,LS,1
0.1038412185610399,1272.0,LS,1
0.10231280752735149,1288.0,LS,1
0.09681729389549007,1304.0,LS,1
0.09192042102566615,1320.0,LS,1
0.10530475618590615,1336.0,LS,1
0.10246816040964575,1352.0,LS,1
0.09049157680913554,1368.0,LS,1
0.0987673136695898,1384.0,LS,1
0.09281149375861511,1400.0,LS,1
0.09328133207130958,1416.0,LS,1
0.10103399570485601,1432.0,LS,1
0.09800836690619799,1448.0,LS,1
0.0967274377476656,1464.0,LS,1
0.09671951928064432,1480.0,LS,1
0.09301577876237392,1496.0,LS,1
0.1025958259470931,1512.0,LS,1
0.09729985587889223,1528.0,LS,1
0.09589368624412659,1544.0,LS,1
0.09766690576863318,1560.0,LS,1
0.105251422534272,1576.0,LS,1
0.10226412539082405,1592.0,LS,1
0.09627977499029923,1608.0,LS,1
0.09987080316238475,1624.0,LS,1
0.09945838115385029,1640.0,LS,1
0.09682799740397295,1656.0,LS,1
0.10214788106531111,1672.0,LS,1
0.09590231242165803,1688.0,LS,1
0.09932829377700592,1704.0,LS,1
0.10697675045242695,1720.0,LS,1
0.10811415864026161,1736.0,LS,1
0.1041462129898701,1752.0,LS,1
0.09781767319496483,1768.0,LS,1
0.10727152219307388,1784.0,LS,1
0.09829722930116959,1800.0,LS,1
0.09776948839996945,1816.0,LS,1
0.10965884726557294,1832.0,LS,1
0.09906853429700141,1848.0,LS,1
0.09706460197608888,1864.0,LS,1
0.10375461243267584,1880.0,LS,1
0.09996279979900935,1896.0,LS,1
0.10442803165614832,1912.0,LS,1
0.10786320099464276,1928.0,LS,1
0.10239304336923638,1944.0,LS,1
0.09826598584481688,1960.0,LS,1
0.09995759943295118,1976.0,LS,1
0.10455196093833512,1992.0,LS,1
0.0985176443425402,2008.0,LS,1
0.09698001482216495,2024.0,LS,1
0.10088731565930588,2040.0,LS,1
0.09950458319367074,2056.0,LS,1
0.10140476207010718,2072.0,LS,1
0.1010690713754668,2088.0,LS,1
0.0978185300156233,2104.0,LS,1
0.09664559615519168,2120.0,LS,1
